id;label;function;year;place_print
250;Willem van Karnebeek & Cornelia van den Bergh;Bruidspaar;1723;
251;Jacob van Veen;Auteur;;
252;David van Hoogstraten;Auteur;;
253;Hubert Kornelisz Poot;Auteur;;
254;Egbert van Karnebeek;Auteur;;
255;Nicolaas Warin & Johanna Catharina van de Poll;Bruidspaar;1747;
256;Johan Robyn & Petronelle Margareta Bernards;Bruidspaar;1744;
257;Arnold Hoogvliet;Auteur;;
258;Joannes Badon;Auteur;;
259;Marten Vlaardingerwoud & Anna van Baerle;Bruidspaar;1726;
260;Johannes Wesselius & Margareta Agatha van Hogendorp;Bruidspaar;1735;
261;Adrianus van Royen;Auteur;;
262;Cornelis Theodorus van Wykersloot & Theodora Agnes van Grasveldt;Bruidspaar;1734;
263;Adriaan Koekebakker & Sara Maria Okhuysen;Bruidspaar;1751;
264;Adriaan Matthiasz Okhuysen;Auteur;;
265;Jan Koekebakker;Auteur;;
266;Abraham van Limburg;Auteur;;
267;R. Blok;Auteur;;
268;E.D.B.Ez;Auteur;;
269;Johanna Magdalena Koekebakker;Auteur;;
270;Abraham van Limburg & Johanna Margareta Okhuysen;Bruidspaar;1749;
271;Sara Maria Okhuysen;Auteur;;
272;Catharina van Limburg;Auteur;;
273;Eduard van Harlingen;Auteur;;
274;Dominicus Schellinger;Auteur;;
275;Nicolaas van Echteren;Auteur;;
276;Johannes Boll;Auteur;;
277;Philip Anton Erbervelt & Susanna Maria Alphusius;Bruidspaar;1731;
278;Gerardus van Maanen & Maria de Klopper;Bruidspaar;1739;
279;Jan van Hoven;Auteur;;
280;Jacob Speciaal & Catharina van Sevenhoven;Bruidspaar;1733;
281;Gerardus van der Hof;Auteur;;
282;Hendrik Speciaal;Auteur;;
283;D. Tolk;Auteur;;
284;Jacob van der Waeyen & Herbertina de Witt;Bruidspaar;1740;
285;Isaäcus Rynders & Geertruid van Gogh;Bruidspaar;1741;
286;Sara Maria van Ravesteyn;Auteur;;
287;Johannes Steversloot & Lydia van Baelen;Bruidspaar;1746;
288;Johannes ter Hofstede;Auteur;;
289;Jan Alting & Swana Francina Alting;Bruidspaar;1751;
290;Bernhardus Alting;Auteur;;
291;Jan de Kruyff;Auteur;;
292;Jan Joostsz van Eik & Leonora de Vogel;Bruidspaar;1729;
293;Adriaan van Cattenburch;Auteur;;
294;Isaac Verburg;Auteur;;
295;Kornelis Willemsz Westerbaen;Auteur;;
296;J.V.;Auteur;;
297;Jacobus Targier;Auteur;;
298;Wilhem Suderman;Auteur;;
299;Arnold Nachtegael Klemens;Auteur;;
300;Pieter Klinkert;Auteur;;
301;Abraham de Haen (1707-1748);Auteur, Drukker;;
302;Jan Abraham Willink;Auteur;;
303;Abraham Meylincq;Auteur;;
304;Matthias Wilhelm Adam de Rhoer & Anna Cornelia van Alphen;Bruidspaar;1747;
305;Jacobus de Rhoer;Auteur;;
306;Jan Groeneveldt;Auteur;;
307;K. Casius;Auteur;;
308;Kornelis Elzevier;Auteur;;
309;Isaac van der Mijn & Sara Honvlee;Bruidspaar;1737;
310;Daniel Taayspel;Auteur;;
311;Lodewyk S.N. Marcellus;Auteur;;
312;Michiel Martyn;Auteur;;
313;Abraham Erbervelt & Cornelia Ploos van Amstel;Bruidspaar;1749;
314;Jacobus de Vos Kops & Maria Feitama;Bruidspaar;1754;
315;Willem Kops;Auteur;;
316;Jan Olthoff;Auteur;;
317;Jan van Dilsen & Margaretha Maria van Blokland;Bruidspaar;1752;
318;Claas Veeckens;Auteur;;
319;Theodoor van Snakenburg & Friderica Albinus;Bruidspaar;1731;
320;Franciscus van Oudendorp;Auteur;;
321;Balthazar Huydecoper;Auteur;;
322;Jacob Michielsz Elias;Auteur;;
323;Jan Wandelaar;Auteur;;
324;Anthony Rooleeuw & Anna de Wilde;Bruidspaar;1712;
325;Pieter van den Berge;Auteur;;
326;&;Bruidspaar;;
327;Albertus Hodshon & Johanna van der Hoeff;Bruidspaar;1731;
328;Matthys Houbakker & Agneta Kille;Bruidspaar;1709;
329;Jan Baptista Wellekens;Auteur;;
330;Lucas Schermer;Auteur;;
331;Jan Geldorp;Auteur;;
332;Joannes Houbakker;Auteur;;
333;Pieter de La Court van der Voort & Sara Poelaert;Bruidspaar;1711;
334;Georgius van Zonhoven;Auteur;;
335;Hendrik Verryn & Geertruid van Wieringen;Bruidspaar;1713;
336;Wilhelmus Lomannus;Auteur;;
337;Paulus Hendriksz Verryn;Auteur;;
338;Jan Outman & Oeda Goemaat;Bruidspaar;1723;
