0;Jaar;Bruidegom;Bruid;Bruidspaar;Drukker;Plaats;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22
48;1738;Hendrik Meysenheym;Maria van Werven;Hendrik Meysenheym & Maria van Werven;De Broen;Amsterdam;Hendrik Meysenheym (Jr) ;Hendrik Graauwhart ;Hendrik (Jr) Graauwhart ;Maria Graauwhart ;Hendrik van Castrop ; J.V.D.H.;;;;;;;;;;;;;;;;
49;1742;Cornelis Sinkelaar;Alida Cornelia van Oosterhout;Cornelis Sinkelaar & Alida Cornelia van Oosterhout;Nicolaas Byl;Amsterdam;Johannes van Oosterhout ;Reinier van Oosterhout ;Dirk Berk ;Nicolaas Byl ;Joannes Wichers ;;;;;;;;;;;;;;;;;
50;1751;Jan Damman;Margareta Dauw;Jan Damman & Margareta Dauw;Jacobus Haffman;Den Haag;Hendrik Damman ;;;;;;;;;;;;;;;;;;;;;
51;1759;Carel Wouter Visscher;Anna Antonia van Muyden;Carel Wouter Visscher & Anna Antonia van Muyden;Johan Besseling;Leiden;Hermannus Gerardus Oosterdyk ;J.P. van Stuyvesant ;Carel Wouter Visscher ;;;;;;;;;;;;;;;;;;;
52;1692;Gillis Teyler;Maria van der Mersch;Gillis Teyler & Maria van der Mersch;Boeteman;Eelde;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
53;1692;Gillis Teyler;Maria van der Mersch;Gillis Teyler & Maria van der Mersch;Boeteman;Groningen;Elias Teyler de Vlieger;;;;;;;;;;;;;;;;;;;;;
54;1693;Herman Schuurman;Petronella Rooleeuw;Herman Schuurman & Petronella Rooleeuw;Arentsz;Groningen;Eduard Feitama ;Isaac Feitama ;;;;;;;;;;;;;;;;;;;;
55;1695;Adrianus van Schuylenburg;Cornelia Soetens;Adrianus van Schuylenburg & Cornelia Soetens;Claes Braau;;Eduard van Zurck ;;;;;;;;;;;;;;;;;;;;;
56;1696;Dirk ten Kate;Johanna Kist;Dirk ten Kate & Johanna Kist;Boeteman;Haarlem;Pieter Bernagie ;Johannes (Jr) Bredenburg ;Eduard Feitama ;Isaac Feitama ;Adriaan Spinniker ;;;;;;;;;;;;;;;;;
57;1696;Dirk ten Kate;Johanna Kist;Dirk ten Kate & Johanna Kist;Boeteman;Middelburg;N. ten Kate ;;;;;;;;;;;;;;;;;;;;;
58;1696;Abraham van der Meersch;Katarina Outerloo;Abraham van der Meersch & Katarina Outerloo;Boeteman;Middelburg;Catharina van der Meersch ;Paschyna van Mazeyk ;Martinus Crellius ;P. van der Meersch ;;;;;;;;;;;;;;;;;;
59;1691;Herman ten Kate;Jozyna Bronkhorst;Herman ten Kate & Jozyna Bronkhorst;Boeteman;Middelburg;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
60;1696;Abraham van der Meersch;Katarina Outerloo;Abraham van der Meersch & Katarina Outerloo;Boeteman;Middelburg;Anthony Jansen ;Gerrit Fortgens ;;;;;;;;;;;;;;;;;;;;
61;1698;Dirk Bosch;Geertruid Rooleeuw;Dirk Bosch & Geertruid Rooleeuw;Arentsz;Middelburg;;;;;;;;;;;;;;;;;;;;;;
62;1698;Jan Bruin;Hester Verhammen;Jan Bruin & Hester Verhammen;Boeteman;Middelburg;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
63;1691;Herman ten Kate;Jozyna Bronkhorst;Herman ten Kate & Jozyna Bronkhorst;Boeteman;Amsterdam;N.D. Beths ;Johannes (Jr) Bredenburg ;;;;;;;;;;;;;;;;;;;;
64;1704;Gysbert Ostens;Elizabeth de Paauw;Gysbert Ostens & Elizabeth de Paauw;Jan van Damme;;J.Cz Bremer ;David van Hoogstraten ;Willem Rabus ;;;;;;;;;;;;;;;;;;;
65;1705;Jacobus Poortugaal;Catharina Poortugaal;Jacobus Poortugaal & Catharina Poortugaal;Barent Bos;Amsterdam;A.H.B.S.;;;;;;;;;;;;;;;;;;;;;
66;1691;Johannes Sylvius;Sophia Luyken;Johannes Sylvius & Sophia Luyken;Gerardus I Borstius;Amsterdam;Hendrik Sylvius ;L. Sylvius ;D. Sylvius ;J. Bloem ;;;;;;;;;;;;;;;;;;
