0;Jaar;Bruidegom;Bruid;Bruidspaar;Drukker;Plaats;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22
2847;1728;Petrus Smidt;Sara de Koker;Petrus Smidt & Sara de Koker;;Amsterdam;G. Smidt ;W. de Koker ;Adriaan Westerhuis ;Pieter van de Walle ;Hendrik Post ;Bernardus de Bosch ;Pieter Post ;;;;;;;;;;;;;;;
2848;1728;Pieter van der Stoot;Johanna Machtilda de Jager;Pieter van der Stoot & Johanna Machtilda de Jager;;Amsterdam;Cornelis Duyvensz ;Nicolaas Weenix ;;;;;;;;;;;;;;;;;;;;
2849;1728;Isaak Sterck;Cecilia Tilburg;Isaak Sterck & Cecilia Tilburg;;Delft;Laurens Steversloot ;;;;;;;;;;;;;;;;;;;;;
2850;1728;Isaak Sterck;Cecilia Tilburg;Isaak Sterck & Cecilia Tilburg;;Amsterdam;Cornelis van der Steen ;;;;;;;;;;;;;;;;;;;;;
2851;1728;Johan Hendrick Haring;Jakoba Maria van Loon;Johan Hendrick Haring & Jakoba Maria van Loon;;Leeuwarden;Arnold Nachtegael Klemens ;;;;;;;;;;;;;;;;;;;;;
2852;1728;Johan Hendrick Haring;Jakoba Maria van Loon;Johan Hendrick Haring & Jakoba Maria van Loon;;Amsterdam;Joannes Badon ;;;;;;;;;;;;;;;;;;;;;
2853;1728;Gerard Aarnoud Hasselaer;Elisabeth Clignet;Gerard Aarnoud Hasselaer & Elisabeth Clignet;;Amsterdam;Hermanus van den Burg ;;;;;;;;;;;;;;;;;;;;;
2854;1728;Gerard Aarnoud Hasselaer;Elisabeth Clignet;Gerard Aarnoud Hasselaer & Elisabeth Clignet;;;Jacobus van der Strengh ;Philip Zweerts ;;;;;;;;;;;;;;;;;;;;
2855;1728;Cornelis Schryver;Maria Le Pla;Cornelis Schryver & Maria Le Pla;;Utrecht;P. Schryver ;;;;;;;;;;;;;;;;;;;;;
2856;1728;Johan Bernhard van der Mark;Agata Petronella de Bucquoy;Johan Bernhard van der Mark & Agata Petronella de Bucquoy;;Utrecht;Laurens Steversloot ;;;;;;;;;;;;;;;;;;;;;
2857;1728;Jan Bisdom;Ignatia Johanna Meewels;Jan Bisdom & Ignatia Johanna Meewels;;Amsterdam;Dirk Smits ;Willem van der Pot ;Cornelis van der Pot ;;;;;;;;;;;;;;;;;;;
2858;1728;Anthony Anbroek;Deliana de Bruin;Anthony Anbroek & Deliana de Bruin;;Dordrecht;Malachias de La Vigne ;;;;;;;;;;;;;;;;;;;;;
2859;1728;Jan Six (1668-1750);Anna Elisabeth van den Bempden;Jan Six (1668-1750) & Anna Elisabeth van den Bempden;;Dordrecht;Johannes Rotterdam ;;;;;;;;;;;;;;;;;;;;;
2860;1728;Jan Six (1668-1750);Anna Elisabeth van den Bempden;Jan Six (1668-1750) & Anna Elisabeth van den Bempden;;Haarlem;;;;;;;;;;;;;;;;;;;;;;
2861;1728;Jacobus Willemsen;Anna Catharina Matthaeus;Jacobus Willemsen & Anna Catharina Matthaeus;;Rotterdam;Pieter de La Ruë ;W. de Cliever ;;;;;;;;;;;;;;;;;;;;
2862;1728;Dionys van Vlierden;Alida Meggelen;Dionys van Vlierden & Alida Meggelen;;Rotterdam;;;;;;;;;;;;;;;;;;;;;;
2863;1728;George (Jr) Clifford;Anna Sara Treschouw;George (Jr) Clifford & Anna Sara Treschouw;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
2864;1728;Leonard Goris;Cornelia Maria de Wilde;Leonard Goris & Cornelia Maria de Wilde;;Dordrecht;Paulus Jolles ;Jan Snoek ;Philip Zweerts ;Jacobus van der Strengh ;;;;;;;;;;;;;;;;;;
2865;1729;Joannes Fredericus Gronovius;Joanna Suzanna Alensoon;Joannes Fredericus Gronovius & Joanna Suzanna Alensoon;;Amsterdam;Hendrik Snakenburg ;;;;;;;;;;;;;;;;;;;;;
2866;1729;Abraham Du Pon;Katharina van der Snippe;Abraham Du Pon & Katharina van der Snippe;;;Jan Huibert Jungius ;;;;;;;;;;;;;;;;;;;;;
2867;1729;Gysbertus de Pas;Cornelia Marchand;Gysbertus de Pas & Cornelia Marchand;;Deventer;G. Marchand ;Jan (Jr) Marchand ;;;;;;;;;;;;;;;;;;;;
2868;1729;Dirk Trip;Agatha Levina Geelvinck;Dirk Trip & Agatha Levina Geelvinck;;Delft;;;;;;;;;;;;;;;;;;;;;;
2869;1729;Adriaan Vygh;Geertruid Valk;Adriaan Vygh & Geertruid Valk;;Haarlem;C. Rygerbos ;Govert Klinkhamer ;Petrus Smidt ;;;;;;;;;;;;;;;;;;;
2870;1729;Fredrik Richters;Maria Reering;Fredrik Richters & Maria Reering;;Amsterdam;Pieter van Flury ;Fredrik Jansz Richters ;;;;;;;;;;;;;;;;;;;;
2871;1729;Herman Vingerhoedt (1697-1762);Maria 's-Graefweg;Herman Vingerhoedt (1697-1762) & Maria 's-Graefweg;;Amsterdam;Otho Hendricks ;;;;;;;;;;;;;;;;;;;;;
2872;1729;Gerard Joan Crull;Maria Margareta Schröder;Gerard Joan Crull & Maria Margareta Schröder;;Rotterdam;C. J.S. Schröder ;J. Schröder ;I.M. Schröder ;H. Schröder ;Anthony de Harde ;Lodewyk Nachtegael Bruyning ;Arnold Klemens ;; ; ;;;;;;;;;;;;
2873;1729;Hendrik Issendorp;Alida Horst;Hendrik Issendorp & Alida Horst;;Amsterdam;Jacobus Issendorp ;Isaak Issendorp ;Johannes Rotterdam ;;;;;;;;;;;;;;;;;;;
2874;1729;Christiaan Steenberg;Johanna Westerhout;Christiaan Steenberg & Johanna Westerhout;;Deventer;Isaac S.W.B. Boonen ;Claas Bruin ;Arnold Boonen ;;;;;;;;;;;;;;;;;;;
2875;1729;Johan Swryters;Katharina Margareta van Kinschot;Johan Swryters & Katharina Margareta van Kinschot;;;Jan Huibert Jungius ;;;;;;;;;;;;;;;;;;;;;
2876;1729;Louis Trip de Maréz;Hillegonda van der Does;Louis Trip de Maréz & Hillegonda van der Does;;Broek in Waterland;Gijsbert van der Goot ;Philip Zweerts ;Jacobus van der Strengh ;;;;;;;;;;;;;;;;;;;
2877;1729;Rudolf Henrik van Lankeren;Maria Pott;Rudolf Henrik van Lankeren & Maria Pott;;Middelburg;Isaac Wz Wolffganck ;Jan Terwen ;Willem Kroon ;;;;;;;;;;;;;;;;;;;
2878;1729;Rudolf Henrik van Lankeren;Maria Pott;Rudolf Henrik van Lankeren & Maria Pott;;Middelburg;Martinus van Lankeren ;;;;;;;;;;;;;;;;;;;;;
2879;1729;Jan van Marselis;Johanna Clifford;Jan van Marselis & Johanna Clifford;;Middelburg;;;;;;;;;;;;;;;;;;;;;;
2880;1729;Johannes Wilhelmus van Diepen;Sara Alettha van Rietveld;Johannes Wilhelmus van Diepen & Sara Alettha van Rietveld;;Middelburg;;;;;;;;;;;;;;;;;;;;;;
2881;1729;Abraham Cleyn;Cornelia Bosch;Abraham Cleyn & Cornelia Bosch;;;Adriaan van der Vliet ;Kornelis van Koeverden ;Jakob van Wyk ;;;;;;;;;;;;;;;;;;;
2882;1729;François de Vicq;Maria Jacoba van Bredehoff;François de Vicq & Maria Jacoba van Bredehoff;;Middelburg;Gerardus Kempher ;Eduard Sennepart ;Roelof Westerop ;Ludovicus Ens ;;;;;;;;;;;;;;;;;;
2883;1729;Herman Berckhout;Debora de Vries;Herman Berckhout & Debora de Vries;;Middelburg;Curtius Nordingh Doitsma ;Govert Klinkhamer ;Roelof Westerop ;P. Klinkhamer ;Michael Klinkhamer ;Jan Bent ;Pieter Swartendyk ;J.R. van Hoolwerff ; N.V.K.; ;;;;;;;;;;;;
2884;1729;Clemens van der Horst;Catharina Elizabeth de Roo;Clemens van der Horst & Catharina Elizabeth de Roo;;Zierikzee;;;;;;;;;;;;;;;;;;;;;;
2885;1729;Nicolaas Geelvinck (1706-1764);Johanna Jacoba Graafland;Nicolaas Geelvinck (1706-1764) & Johanna Jacoba Graafland;;Amsterdam;Benedictus Marius ;;;;;;;;;;;;;;;;;;;;;
2886;1729;Willem Roos;Catharina Koning;Willem Roos & Catharina Koning;;;Hendrik Dauw ;;;;;;;;;;;;;;;;;;;;;
2887;1729;Willem Haring;Johanna Cornelia Kingma;Willem Haring & Johanna Cornelia Kingma;;Amsterdam;Carel Johan Houttuyn ;Hermanus van den Burg ;P. Haring ;Jan Terwen ;;;;;;;;;;;;;;;;;;
2888;1729;Louis Fabricius Du Bourg;Eva de Kaarsgieter;Louis Fabricius Du Bourg & Eva de Kaarsgieter;;Amsterdam;Zeeger de Kaarsgieter ;Hendrik van der Sande ;Joost Sasselee ;Isaac Boonen ;H.K.A.;Hendrik Post ;Philip Zweerts ;;;;; ;;;;;;;;;;
2889;1729;Petrus Teger;Clara de Bruyn;Petrus Teger & Clara de Bruyn;;Amsterdam;Pieter de Bruyn ;A.R. Reen ;Magdalena Reen geb. Pollius ;;;;;;;;;;;;;;;;;;;
2890;1729;Gerardus van Wiert;Kornelia Joris;Gerardus van Wiert & Kornelia Joris;;Delft;Willem Ostens ;J. Beverwyk ;Eduard van Nikkelen ;Govert Klinkhamer ;Izaak Duim ;Philip Zweerts ;;; ;;;;;;;;;;;;;
2891;1730;Adriaen Kalden;Kristina Delia Schwencke;Adriaen Kalden & Kristina Delia Schwencke;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
2892;1730;Adrianus van der Singel;Elisabeth van der Mijn;Adrianus van der Singel & Elisabeth van der Mijn;;Amsterdam;Isaac van der Mijn ;Sara van der Mijn geb. van Renard ;Jeremias van der Meer ;;;;;;;;;;;;;;;;;;;
2893;1730;Johannes Winkelmans;Geertruida van Wesel;Johannes Winkelmans & Geertruida van Wesel;;Amsterdam;K.T. M.T. Hoogeveen;;;;;;;;;;;;;;;;;;;;;
2894;1730;Jan Trout;Anna Woelders;Jan Trout & Anna Woelders;;Leiden;Pieter Gouverno ;;;;;;;;;;;;;;;;;;;;;
2895;1730;Johannes Sybing van Hermkhuysen;Maria de Wit;Johannes Sybing van Hermkhuysen & Maria de Wit;;Utrecht;;;;;;;;;;;;;;;;;;;;;;
2896;1730;Jasper Koning van der Biet;Elisabeth Swiesen;Jasper Koning van der Biet & Elisabeth Swiesen;;Leiden;Herkules I.B. Bouman ;;;;;;;;;;;;;;;;;;;;;
2897;1730;Steven van Winssenburg;Anna Maria de Mulder;Steven van Winssenburg & Anna Maria de Mulder;;Delft;Hendrik Borsboom ;;;;;;;;;;;;;;;;;;;;;
2898;1730;Everhard Menssingh;Clara Theroude;Everhard Menssingh & Clara Theroude;;Leiden;Petrus Thierens ;Paulus Theroude ;Stephanus Theroude ;;;;;;;;;;;;;;;;;;;
2899;1730;Willem van Vollenhoven;Catharina Wilhelmina Brunink;Willem van Vollenhoven & Catharina Wilhelmina Brunink;;Leiden;Arnold Hoogvliet ;Claas Bruin ;Joannes Haverkamp ;Gijsbert Tysens ;Jan Wandelaar ;J.V.M.;;;;;;;;;;;;;;;;
2900;1730;Iman Mogge;Maria Agatha van Collen;Iman Mogge & Maria Agatha van Collen;;Rotterdam;Hendrik Schim ;;;;;;;;;;;;;;;;;;;;;
2901;1730;Adriaan Westerhuis;Louisa Schildering;Adriaan Westerhuis & Louisa Schildering;;Rotterdam;Bernardus de Bosch ;Petrus Smidt ;;;;;;;;;;;;;;;;;;;;
2902;1730;Johannes van der Wyde;Elisabeth van Thiel;Johannes van der Wyde & Elisabeth van Thiel;;;Pieter van Vliet ;;;;;;;;;;;;;;;;;;;;;
2903;1730;Nikolaas Kien;Theodora Petronella van Romond;Nikolaas Kien & Theodora Petronella van Romond;;Leiden;Laurens Steversloot ;;;;;;;;;;;;;;;;;;;;;
2904;1730;Godfried Sellius;Magdalena Debora Verhoog;Godfried Sellius & Magdalena Debora Verhoog;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
2905;1730;Pieter Keetman;Barbara de Leeuw;Pieter Keetman & Barbara de Leeuw;;Leiden;;;;;;;;;;;;;;;;;;;;;;
2906;1730;Jan Sandyk;Maria Catharina Baalde;Jan Sandyk & Maria Catharina Baalde;;;Claas Bruin ;;;;;;;;;;;;;;;;;;;;;
2907;1730;Johan van Noordwyk;Cornelia ter Borch;Johan van Noordwyk & Cornelia ter Borch;;Middelburg;A. van Noordwyk ;Abraham Willemsz ter Borch ;H. Scheltus ;;;;;;;;;;;;;;;;;;;
2908;1730;Tiberius Reitsma;Magdalena Henrietta Baalde;Tiberius Reitsma & Magdalena Henrietta Baalde;;Amsterdam;Magdalena Fruens Reen ;Johannes Meyer ;;;;;;;;;;;;;;;;;;;;
2909;1730;Jakob de Vries;Johanna Elizabet van Bredehoff;Jakob de Vries & Johanna Elizabet van Bredehoff;;Langweer;J.R. van Hoolwerff ;Michael Klinkhamer ;Pieter Swartendyk ;P. Klinkhamer ;Curtius Nordingh Doitsma ;;;;;; ; ;;;;;;;;;;
2910;1730;Jan van Dorssen;Katarina van Beeck;Jan van Dorssen & Katarina van Beeck;;Groningen;;Adriaan Matthiasz Okhuysen ;;;;;;;;;;;;;;;;;;;;
2911;1730;Nicolaas de Roo;Anna Schoondorp;Nicolaas de Roo & Anna Schoondorp;;Eelde;J. Weyland ;Hendrik de Roo ;Hendrik Ravekes ;;;;;;;;;;;;;;;;;;;
2912;1731;Jacobus Oosterdyk;Maria Oxfort;Jacobus Oosterdyk & Maria Oxfort;;Groningen;Christianus Brinck ;Maria de Wilde ;;;;;;;;;;;;;;;;;;;;
2913;1731;Roelof Eelbo;Johanna Jakoba Du Bois;Roelof Eelbo & Johanna Jakoba Du Bois;;Beilen;Joannes van Braam ;;;;;;;;;;;;;;;;;;;;;
2914;1731;Johannes van Diepenheim;Anna Maria de Swaan;Johannes van Diepenheim & Anna Maria de Swaan;;Amsterdam;Nicolaas de Swaan ;W. van Diepenheim ;Joannes van den Broek ;Abraham de Haen (1707-1748);;;;;;;; ;;;;;;;;;;
2915;1731;Nicolaas Cornelis Crollius;Maria Johannetta Stratenus;Nicolaas Cornelis Crollius & Maria Johannetta Stratenus;;Groningen;Isaac Wz Wolffganck ;;;;;;;;;;;;;;;;;;;;;
2916;1731;Isaak Ostens;Maria Scheltes;Isaak Ostens & Maria Scheltes;;;Willem Ostens ;;;;;;;;;;;;;;;;;;;;;
2917;1731;Carolus Willemsz Crucius;Anna Maria Laurentius;Carolus Willemsz Crucius & Anna Maria Laurentius;;;Joan Doornik ;Adrianus van Bleiswyk ;Petrus Burman ;;;;;;;;;;;;;;;;;;;
2918;1731;Carolus Willemsz Crucius;Anna Maria Laurentius;Carolus Willemsz Crucius & Anna Maria Laurentius;;Middelburg;Cornelia Jacoba Katharina van der Duyn ;;;;;;;;;;;;;;;;;;;;;
2919;1731;Luyther Ryk;Maria Margareta Bellanger;Luyther Ryk & Maria Margareta Bellanger;;Delft;Lucas Pater ;;;;;;;;;;;;;;;;;;;;;
2920;1731;Johannes Burman;Adriana van Buren;Johannes Burman & Adriana van Buren;;Amsterdam;Adrianus van Royen ;Cornelius Hugo Vonk ;Joannes van Wena ;Franciscus Burman (1708-1793);Abraham Burman ;Petrus (1713-1778) Burman ;;;;;;;;;;;;;;;;
2921;1731;Philip Anton Erbervelt;Susanna Maria Alphusius;Philip Anton Erbervelt & Susanna Maria Alphusius;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
2922;1731;Petrus Dathenus;Josina La Croix;Petrus Dathenus & Josina La Croix;;Amsterdam;Helena Buys ;Johan Hofman ;Maximiliaan Vermeere ;Johannis Hendriksz de Raad ;Jakobus Andriesse de Waal ;Godefridus Callenfels ;Petrus Wilhelmus Callenfels ;Gerhard Step ;;;;;;;;;;;;;;
2923;1731;Abraham Masurel;Anna Catharina Koop van Groen;Abraham Masurel & Anna Catharina Koop van Groen;;Amsterdam;Claas Bruin ;Gijsbert Tysens ;;;;;;;;;;;;;;;;;;;;
2924;1731;Hermanus Rietveld;Regista Muilman;Hermanus Rietveld & Regista Muilman;;Amsterdam;Henrik Muilman ;;;;;;;;;;;;;;;;;;;;;
2925;1731;Jan van Marken;Elisabeth Koenerding;Jan van Marken & Elisabeth Koenerding;;Amsterdam;Jan Mol ;Bernardus de Bosch ;;;;;;;;;;;;;;;;;;;;
2926;1731;Johannes Jonas;Maria Marissal;Johannes Jonas & Maria Marissal;;Beverwijk;Adrianus van der Win ;J. Boonen ;A. Jonas ;A. van A. ;Adolph van Asperen ;Michiel van II Leeuwen ;Adolph Sluyter ;;;;;;;;;;;;;;;
2927;1731;Walterus van Heusden;Maria van Waert;Walterus van Heusden & Maria van Waert;;Utrecht;Hendrik Schim ;;;;;;;;;;;;;;;;;;;;;
2928;1731;Thomas Vieroot;Cornelia van Dooreslaer;Thomas Vieroot & Cornelia van Dooreslaer;;Amsterdam;Hendrik Vieroot ;Johannes van Dooreslaer ;Adolph Sluyter ;Lodewyk Bruyning ;Jan Cornelisz Ruyg ;;;;;;;;;;;;;;;;;
2929;1732;Johan Oostendorp;Suzanna van Koopstadt;Johan Oostendorp & Suzanna van Koopstadt;;Utrecht;Willem Kroon ;;;;;;;;;;;;;;;;;;;;;
2930;1732;Jacobus Philippus d' Orville;Elizabeth Maria van Ryn;Jacobus Philippus d' Orville & Elizabeth Maria van Ryn;;Amsterdam;Franciscus van Oudendorp ;Hendrik Snakenburg ;Carolus van Heusden ;Petrus Burman ;Petrus d' Orville ;Hubert Gregorius van Vryhoff ;Antoni Warin ;;;;;;;;;;;;;;;
2931;1732;Jacobus Philippus d' Orville;Elizabeth Maria van Ryn;Jacobus Philippus d' Orville & Elizabeth Maria van Ryn;;Amsterdam;Hubert Gregorius van Vryhoff ;;;;;;;;;;;;;;;;;;;;;
2932;1732;Dionys Vermasen;Adriana Vermande;Dionys Vermasen & Adriana Vermande;;Amsterdam;Pieter Kuypers ;Nikolaes Versteeg ;Frans de Haes ;;;;;;;;;;;;;;;;;;;
2933;1732;Joannes Maiden;Josina Floor;Joannes Maiden & Josina Floor;;Leiden;Cornelis V.C. Floor ;Gerard de Haan ;;;;;;;;;;;;;;;;;;;;
2934;1732;Pieter Heinius;Anna Elizabeth van Geel;Pieter Heinius & Anna Elizabeth van Geel;;;J.R. van Geel ;C. van Geel ;Samuel van Schalkwyk a Velden ;;;;;;;;;;;;;;;;;;;
2935;1732;Jan Visscher;Paulina Koenerding;Jan Visscher & Paulina Koenerding;;;Gerard Visscher ;Bernardus de Bosch ;Jan Mol ;Lucas Pater ;;;;;;;;;;;;;;;;;;
2936;1732;Johannes Zallé;Anna Catharina van Naerssen;Johannes Zallé & Anna Catharina van Naerssen;;;Isaac Wz Wolffganck ;;;;;;;;;;;;;;;;;;;;;
2937;1732;Isaac Des Obry;Johanna van Royen;Isaac Des Obry & Johanna van Royen;;;Theodoor van Snakenburg ;;;;;;;;;;;;;;;;;;;;;
2938;1732;Cornelis Floor;Sara Broegh;Cornelis Floor & Sara Broegh;;Harderwijk;S. van Bavel ;;;;;;;;;;;;;;;;;;;;;
2939;1732;Johannes Cornelis Chanfleury;Sibilla Elisabeth Pollio;Johannes Cornelis Chanfleury & Sibilla Elisabeth Pollio;;Amsterdam;Julius Caesar Boëthius ;;;;;;;;;;;;;;;;;;;;;
2940;1732;Alardus Adrianus Buurt;Maria Mulet;Alardus Adrianus Buurt & Maria Mulet;;Leiden;Johannes Kalkoen ;Rutger Schutte ;;;;;;;;;;;;;;;;;;;;
2941;1732;Christiaan Martin;Susanna de Jong;Christiaan Martin & Susanna de Jong;;Amsterdam;Frans Martin ;M. de Jong ;;;;;;;;;;;;;;;;;;;;
2942;1732;Cornelis Voegen;Diliana Le Grand;Cornelis Voegen & Diliana Le Grand;;Amsterdam;Isaac Wz Wolffganck ;;;;;;;;;;;;;;;;;;;;;
2943;1732;Cornelis Voegen;Diliana Le Grand;Cornelis Voegen & Diliana Le Grand;;Oosterbeek;;;;;;;;;;;;;;;;;;;;;;
2944;1732;Daniel Lafargue;Maria Dammers;Daniel Lafargue & Maria Dammers;;Leiden;;;;;;;;;;;;;;;;;;;;;;
2945;1732;Abraham Burman;Joanna Elizabeth van Buren;Abraham Burman & Joanna Elizabeth van Buren;;Amsterdam;Petrus Burman ;;;;;;;;;;;;;;;;;;;;;
2946;1732;Johannes de Ruit;Anna van Lochem;Johannes de Ruit & Anna van Lochem;;Den Haag;Cornelis de Ruit ;;;;;;;;;;;;;;;;;;;;;
2947;1732;Pieter Twent;Elisabeth Adriana van der Lely;Pieter Twent & Elisabeth Adriana van der Lely;;Den Haag;P.V.H. D.v.B.;Diderik van Bleiswyk ;;;;;;;;;;;;;;;;;;;;
2948;1732;Frans de Haes (1708-1761);Adriana van der Tooren;Frans de Haes (1708-1761) & Adriana van der Tooren;;Amsterdam;Arnold Hoogvliet ;Dirk Smits ;Willem van der Pot ;Nikolaes Versteeg ;Adriaan van der Vliet ;;;;;;;;;;;;;;;;;
2949;1732;Floris Bontekoning;Catharina Makreel;Floris Bontekoning & Catharina Makreel;;Amsterdam;Jacob Makreel ;;;;;;;;;;;;;;;;;;;;;
2950;1732;Adriaen Schadee;Zoetje van Kleef;Adriaen Schadee & Zoetje van Kleef;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
2951;1732;Jan van der Hoop;Johanna Sleght;Jan van der Hoop & Johanna Sleght;;Amsterdam;Arnold Hoogvliet ;Japik Andriessen ;Dirk Smits ;Willem van der Pot ;Nikolaes Versteeg ;Frans de Haes (1708-1761) ;Adriaan van der Vliet ;;;;;;;;;;;;;;;
2952;1733;Jan Roscam;Jacoba Elizabeth van Meel;Jan Roscam & Jacoba Elizabeth van Meel;;;Hubert Gregorius van Vryhoff ;;;;;;;;;;;;;;;;;;;;;
2953;1733;Hendrik Koot;Hester van Damme;Hendrik Koot & Hester van Damme;;Amsterdam;Johannes Petraeus ;Daniel van Damme ;Abram van Batenburg ;;;;;;;;;;;;;;;;;;;
2954;1733;Everhard Storm;Cornelia Maria de Wys;Everhard Storm & Cornelia Maria de Wys;;;Jan Gerard de Wys ;;;;;;;;;;;;;;;;;;;;;
2955;1733;Nicolaas Gybel;Sara Nieukerk;Nicolaas Gybel & Sara Nieukerk;;Amsterdam;J. Gybel ;A. Boursse ;Hendrik Reiniersz Reyne ;Hendrik van der Sande ;;;;;;;;;;;;;;;;;;
2956;1733;Joan Helmans;Maria Ketelanus;Joan Helmans & Maria Ketelanus;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
2957;1733;Willem Röell;Elizabeth de Famars;Willem Röell & Elizabeth de Famars;;Amsterdam;L. Coster ;Abraham Titsingh ;Harmanus Meyer ;;;;;;;;;;;;;;;;;;;
2958;1733;Johannes Stam;Jannetje van Zeyl;Johannes Stam & Jannetje van Zeyl;;Amsterdam;C. Schouten ;A. Penning ;Pieter Burghards ;;;;;;;;;;;;;;;;;;;
2959;1733;Izaak (Jr) Du Sart;Anna Maria van Rensselaar;Izaak (Jr) Du Sart & Anna Maria van Rensselaar;;Amsterdam;Izaak Du Sart ;R. Kiliaansz van Rensselaar ;;Joannes Isaaksz Du Sart ; ;;;;;;;;;;;;;;;;;
2960;1733;Joannes Philippus Scheidius;Anna Maria Du Sart;Joannes Philippus Scheidius & Anna Maria Du Sart;;;Fransina Jacoba Coets geb. Van Westrem ;Izaak Du Du Sart ;Izaak (Jr) Du Sart ;Joannes Isaaksz Sart ;;;;;;;; ;;;;;;;;;;
2961;1733;Jacob Du Claux;Eva Kaau;Jacob Du Claux & Eva Kaau;;;Herman Kaau Boerhaave ;Hubert Gregorius van Vryhoff ;;;;;;;;;;;;;;;;;;;;
2962;1733;Otto Hendrik Molyn;Judith van Brussel;Otto Hendrik Molyn & Judith van Brussel;;Deventer;;;;;;;;;;;;;;;;;;;;;;
2963;1733;Isaac Lohoff;Maria Leeser;Isaac Lohoff & Maria Leeser;;Utrecht;Herkules Bouman ;Jacob L.T.D.P. Leeser ;Willem Kroon ;Jan Volkmar ;Jacobus van der Strengh ;Cornelis Jacobsz Ploos van Amstel ;;;;;; ;;;;;;;;;;
2964;1733;Johan Meerman;Petronelle Geertruyd de Mey;Johan Meerman & Petronelle Geertruyd de Mey;;;Wilhelm Otto Reitz ;Johannes Obreen ;;;;;;;;;;;;;;;;;;;;
2965;1733;Nikolaes Versteeg;Elizabeth van Deuren;Nikolaes Versteeg & Elizabeth van Deuren;;Amsterdam;Dirk Smits ;Willem van der Pot ;Frans de Haes ;Adriaan van der Vliet ;;;;;;;;;;;;;;;;;;
2966;1733;Henrik Muilman;Maria Le Heulle;Henrik Muilman & Maria Le Heulle;;Amsterdam;Philip Willem Croyzé ;Jacob Spex ;C. de Bruyn ;;;;;;;;;;;;;;;;;;;
2967;1733;Henrik Muilman;Maria Le Heulle;Henrik Muilman & Maria Le Heulle;;;Jacob Spex ;;;;;;;;;;;;;;;;;;;;;
2968;1733;Jan Cornelisz Schaap;Elisabeth van den Bergh;Jan Cornelisz Schaap & Elisabeth van den Bergh;;;Hermanus van den Burg ;Matheus de Ruuscher ;;;;;;;;;;;;;;;;;;;;
2969;1733;Doe Schim;Maria Garengroot;Doe Schim & Maria Garengroot;;Amsterdam;Johannes Garengroot (Jr) ;Pieter Schim ;Jacob Schim ;Hendrik Schim ;;;;;;;;;;;;;;;;;;
2970;1733;Bastiaen Molewater;Maria Vink;Bastiaen Molewater & Maria Vink;;Amsterdam;Dirk Smits ;Nikolaes Versteeg ;Frans de Haes ;Adriaan van der Vliet ;Michiel van Kouwenberg ;Abraham Elzevier ;;;;; ; ;;;;;;;;;;
2971;1733;Willem de Witt;Clasina Maria Ojers;Willem de Witt & Clasina Maria Ojers;;Amsterdam;Nicolaas de Mortier ;Jan Jacob Ojers ;;;;;;;;;;;;;;;;;;;;
2972;1733;Simon Taay van Campen;Maria Jacoba Le Pla;Simon Taay van Campen & Maria Jacoba Le Pla;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
2973;1733;Simon Taay van Campen;Maria Jacoba Le Pla;Simon Taay van Campen & Maria Jacoba Le Pla;;Amsterdam;Klara Ghyben ;;;;;;;;;;;;;;;;;;;;;
2974;1733;Carolus Willemsz Crucius;Elizabeth Glaudina van Teylingen;Carolus Willemsz Crucius & Elizabeth Glaudina van Teylingen;;Amsterdam;Carel Johan Houttuyn ;Johannes Jacobus Vitriarius ;;;;;;;;;;;;;;;;;;;;
2975;1733;Albertus van Westerhof;Anna Maria Kelderman;Albertus van Westerhof & Anna Maria Kelderman;;;Abraham Titsingh ;Adriaan de Kramer ;;;;;;;;;;;;;;;;;;;;
2976;1733;Cornelis Broeders;Sara Maria de Liefde;Cornelis Broeders & Sara Maria de Liefde;;;Segert Blankert ;;;;;;;;;;;;;;;;;;;;;
2977;1733;Lambertus Mulder;Dina van Neck;Lambertus Mulder & Dina van Neck;;Groningen;J. Langevelt ;;;;;;;;;;;;;;;;;;;;;
2978;1733;Nicolaas Vossius;Agneta Catharina van Wyk;Nicolaas Vossius & Agneta Catharina van Wyk;;Groningen;Adrianus van Royen ;;;;;;;;;;;;;;;;;;;;;
2979;1733;Louis Fremyn;Cornelia Maria van der Port;Louis Fremyn & Cornelia Maria van der Port;;Enkhuizen;Jacob van der Port ;Nicolaes Davidsz Fremyn ;Jan Fremyn ;Hendrickus Wilhelmus Fremyn ;Jan van Dilsen ;Matheus de Ruuscher ; ;;; ;;;;;;;;;;;;
2980;1733;Johannes van Slangenburgh;Theodora Erhard;Johannes van Slangenburgh & Theodora Erhard;;Haarlem;Johannes Erhard ;Ludovicus Ens ;Hendrik Kappenberg ;;;;;;;;;;;;;;;;;;;
