0;Database;Jaar;Bruidegom;Bruid;Bruidspaar;Drukker;Plaats_druk;Plaats_huwelijk;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22;Alleauteurs
2316;KB;1615.0;Wilhelm Luytsz van Kittensteyn;Maria Lambrechts Cocqus;Wilhelm Luytsz van Kittensteyn & Maria Lambrechts Cocqus;;;Amsterdam;I. Luytsz van Kittensteyn;;;;;;;;;;;;;;;;;;;;;;I. Luytsz van Kittensteyn
2317;KB;1615.0;Hendrick Barentsz;Trijntgen Hendricksd;Hendrick Barentsz & Trijntgen Hendricksd;;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
3668;STCN;1615.0;Willem Luyt Kittensteyn;Maria Lambrechts Cocqus;Willem Luyt Kittensteyn & Maria Lambrechts Cocqus;Jan Andriesz Cloeting;Delft;;;;;;;;;;;;;;;;;;;;;;;;
387;KB;1616.0;Rombout Jacobsen;Hillegonda van Baesdorp;Rombout Jacobsen & Hillegonda van Baesdorp;Paulus Aertsz van Ravesteyn;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;
1162;KB;1616.0;Abram Govaerts van der Graf;Margarita ten Grootenhuyse;Abram Govaerts van der Graf & Margarita ten Grootenhuyse;Broer Jansz;Amsterdam;Den Haag;;;;;;;;;;;;;;;;;;;;;;;
1406;KB;1616.0;Joannes van der Sterre;Maria Snellinck;Joannes van der Sterre & Maria Snellinck;Porcevant Morgan;Amsterdam;Vreeland;;;;;;;;;;;;;;;;;;;;;;;
1599;KB;1616.0;Eerich Steinsz Brahe;Licia van Eysinga;Eerich Steinsz Brahe & Licia van Eysinga;Abraham van den Rade;Leeuwarden;;Jan Jansz Starter;;;;;;;;;;;;;;;;;;;;;;Jan Jansz Starter
1621;KB;1616.0;Hans Martens;Angnita Jansd Engels;Hans Martens & Angnita Jansd Engels;Paulus Aertsz van Ravesteyn;Amsterdam;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
1622;KB;1616.0;Mathaeus Cleinaert;Eerlant Lambert;Mathaeus Cleinaert & Eerlant Lambert;Paulus Aertsz van Ravesteyn;Amsterdam;Amsterdam;Henricus Velthusius;;;;;;;;;;;;;;;;;;;;;;Henricus Velthusius
1623;KB;1616.0;Cornelis van Coeschot;Catarina van Gisselen;Cornelis van Coeschot & Catarina van Gisselen;Paulus Aertsz van Ravesteyn;Amsterdam;Monnikendam;;;;;;;;;;;;;;;;;;;;;;;
1624;KB;1616.0;Bartholomeus van Mildert;Elizabeth Flores;Bartholomeus van Mildert & Elizabeth Flores;Paulus Aertsz van Ravesteyn;Amsterdam;Amsterdam;Abraham van Mildert;;;;;;;;;;;;;;;;;;;;;;Abraham van Mildert
