0;Database;Jaar;Bruidegom;Bruid;Bruidspaar;Drukker;Plaats_druk;Plaats_huwelijk;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22;Alleauteurs
49;KB;1742.0;Cornelis Sinkelaar;Alida Cornelia van Oosterhout;Cornelis Sinkelaar & Alida Cornelia van Oosterhout;Nicolaas Byl;Amsterdam;Amsterdam;Johannes van Oosterhout;Reinier van Oosterhout;Dirk Berk;Nicolaas Byl;Joannes Wichers;;;;;;;;;;;;;;;;;;Johannes van Oosterhout, Reinier van Oosterhout, Dirk Berk, Nicolaas Byl, Joannes Wichers
165;KB;1742.0;Johannes Hop;Cornelia Maria van Stryen;Johannes Hop & Cornelia Maria van Stryen;;;;Otto Arntzenius;;;;;;;;;;;;;;;;;;;;;;Otto Arntzenius
381;KB;1742.0;Adriaan Du Val;Helena Arendina van der Kars;Adriaan Du Val & Helena Arendina van der Kars;;;Amsterdam;Antonius Faber;Kornelis Trioen;Pieter Langendyk;Hendrik Schim;Thomas Mess;Servatius van de Coppello;Anna Agneta Trioen;;;;;;;;;;;;;;;;Antonius Faber, Kornelis Trioen, Pieter Langendyk, Hendrik Schim, Thomas Mess, Servatius van de Coppello, Anna Agneta Trioen
414;KB;1742.0;Egbertus Geniets;Agatha Maria Muhl;Egbertus Geniets & Agatha Maria Muhl;;;Amsterdam;Agatha Maria Sena;;;;;;;;;;;;;;;;;;;;;;Agatha Maria Sena
476;KB;1742.0;Pieter Avenhorn;Alida Ryser;Pieter Avenhorn & Alida Ryser;Abraham I Kallewier;Leiden;Den Haag;Brandyn Ryser;Sara Maria van Ravesteyn;As (Jr) Homoet;Joannes Lette;Willem Griffioen;;;;;;;;;;;;;;;;;;Brandyn Ryser, Sara Maria van Ravesteyn, As (Jr) Homoet, Joannes Lette, Willem Griffioen
602;KB;1742.0;Arnout Dederiks;Sara Susanna Couck;Arnout Dederiks & Sara Susanna Couck;De Broen;Amsterdam;;J.H. J.C.;;;;;;;;;;;;;;;;;;;;;;J.H. J.C.
726;KB;1742.0;Andries Munter;Margareta Johanna Bors van Waveren;Andries Munter & Margareta Johanna Bors van Waveren;Johannes Dalemans;Amsterdam;Katwijk;Lodewyk Bruyning;Abraham Titsingh;;;;;;;;;;;;;;;;;;;;;Lodewyk Bruyning, Abraham Titsingh
743;KB;1742.0;Cornelis van Ophoven;Johanna van Honkoop;Cornelis van Ophoven & Johanna van Honkoop;Pieter Hendrik Charlois;Amsterdam;Oud-Beijerland;Willem Henskes;Hendrik Campen;Pieter Hendrik Charlois;;;;;;;;;;;;;;;;;;;;Willem Henskes, Hendrik Campen, Pieter Hendrik Charlois
752;KB;1742.0;Nicolaas Paradys;Cornelia Toll;Nicolaas Paradys & Cornelia Toll;Hendrik Boussiere;Amsterdam;Amsterdam;Dirk L.M.Q.P.P.O. Toll;Willem Hendrik Nolthenius;Balthazar Nolthenius;Dirk Willink;Jacobus van der Strengh;J.H.;;;;;;;;;;;;;;;;;Dirk L.M.Q.P.P.O. Toll, Willem Hendrik Nolthenius, Balthazar Nolthenius, Dirk Willink, Jacobus van der Strengh, J.H.
831;KB;1742.0;Harmanus Velthuysen;Dirkje Kievit;Harmanus Velthuysen & Dirkje Kievit;Pieter van der (wed) Burgh;s-Gravenhage;Gouda;Hendrikus H.V.M. Velthuysen;;;;;;;;;;;;;;;;;;;;;;Hendrikus H.V.M. Velthuysen
866;KB;1742.0;Pieter van Weyler;Johanna Decker;Pieter van Weyler & Johanna Decker;Barent Das;;Amsterdam;J. Veris Decker;Melchior Rollerus;Jacob van Stamhorst;;;;;;;;;;;;;;;;;;;;J. Veris Decker, Melchior Rollerus, Jacob van Stamhorst
1154;KB;1742.0;Simon Tetterode;Johanna Margareta de Burlett;Simon Tetterode & Johanna Margareta de Burlett;Mozes van Hulkenroy;Haarlem;;J. Hoepeling;Everard de Burlett;Daniël de Burlett de jonge;Everard Janszoon de Burlett;;;;;;;;;;;;;;;;;;;J. Hoepeling, Everard de Burlett, Daniël de Burlett de jonge, Everard Janszoon de Burlett
1173;KB;1742.0;Adriaan Baarend Boom;Margarita Verniers;Adriaan Baarend Boom & Margarita Verniers;Abraham I Kallewier;Leiden;Amsterdam;Brender à A.V.S.;Christoffel Kristiaan Brandis;Servatius van de Coppello;;;;;;;;;;;;;;;;;;;;Brender à A.V.S., Christoffel Kristiaan Brandis, Servatius van de Coppello
1326;KB;1742.0;Egbertus Geniets;Agatha Maria Muhl;Egbertus Geniets & Agatha Maria Muhl;Jan van der Linde;Amsterdam;;Dominicus Geniets;H. van Brevoort;D.D.Jz Geniets;;;;;;;;;;;;;;;;;;;;Dominicus Geniets, H. van Brevoort, D.D.Jz Geniets
1408;KB;1742.0;Lucas Marinus;Hermina van Leeuwen;Lucas Marinus & Hermina van Leeuwen;Bernardus Mourik;Amsterdam;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
1567;KB;1742.0;Herman Gideon Clemens;Barbara Antonetta Rosina Tscharner;Herman Gideon Clemens & Barbara Antonetta Rosina Tscharner;Hendrik I Palier;s-Hertogenbosch;Haarlem;Johannes van den Oever;Johannes Fredericus Reitz;Abraham Jellico;J. van Ruelo;;;;;;;;;;;;;;;;;;;Johannes van den Oever, Johannes Fredericus Reitz, Abraham Jellico, J. van Ruelo
1598;KB;1742.0;David van Oostrum;Johanna Petronella Engelbregt;David van Oostrum & Johanna Petronella Engelbregt;Abraham van der II Putte;Amsterdam;;Abraham van der Putte;Abraham Engelbregt;Jan Engelbregt;Jan Veenendaal;J.B.B.;D.D.Jz Geniets;;;;;;;;;;;;;;;;;Abraham van der Putte, Abraham Engelbregt, Jan Engelbregt, Jan Veenendaal, J.B.B., D.D.Jz Geniets
1961;KB;1742.0;Dirk (Jr) Alewyn;Jacoba Ortt;Dirk (Jr) Alewyn & Jacoba Ortt;Antoni Waldorp;Amsterdam;Amsterdam;As Homoet (Jr);;;;;;;;;;;;;;;;;;;;;;As Homoet (Jr)
2020;KB;1742.0;Willem van Rensselaar;Cornelia Judith Cramer;Willem van Rensselaar & Cornelia Judith Cramer;Joris van der Woude;Amsterdam;Amsterdam;Hendrik Willem Cramer;Antony van (Jr) Rensselaar;François Wilhem Westerhout;Paulus Jansz Wenkink;Johannes Vallee;;;;;;;;;;;;;;;;;;Hendrik Willem Cramer, Antony van (Jr) Rensselaar, François Wilhem Westerhout, Paulus Jansz Wenkink, Johannes Vallee
2225;KB;1742.0;Isaak Buytenwaard;Geertruy Raamburg;Isaak Buytenwaard & Geertruy Raamburg;;;Gouda;Frans van Steenwyk;;;;;;;;;;;;;;;;;;;;;;Frans van Steenwyk
2226;KB;1742.0;Salomon Schouten;Christina van der Weyden;Salomon Schouten & Christina van der Weyden;;;Gouda;Rudolph Schouten;Gerardus Nagtglas;Jan Remery;;;;;;;;;;;;;;;;;;;;Rudolph Schouten, Gerardus Nagtglas, Jan Remery
2227;KB;1742.0;Isaac I Scheltus;Maria Mol;Isaac I Scheltus & Maria Mol;;;Alkmaar;Jan G.W.R.L.R.G.D.M.B.T.H.M.K.V.B.B. Mol;;;;;;;;;;;;;;;;;;;;;;Jan G.W.R.L.R.G.D.M.B.T.H.M.K.V.B.B. Mol
2228;KB;1742.0;Arnout Dederiks;Sara Susanna Couck;Arnout Dederiks & Sara Susanna Couck;;;Gouda;;;;;;;;;;;;;;;;;;;;;;;
2229;KB;1742.0;Lucas Marinus;Hermina van Leeuwen;Lucas Marinus & Hermina van Leeuwen;;;Schiedam;Elisabeth Marinus;Anna Marinus;E. Marinus;E. Egbertsz Marinus;G.C. Ketelaar;;;;;;;;;;;;;;;;;;Elisabeth Marinus, Anna Marinus, E. Marinus, E. Egbertsz Marinus, G.C. Ketelaar
2277;KB;1742.0;Jacob Temminck;Aletta de Wakker;Jacob Temminck & Aletta de Wakker;;;;Thomas Zegersz van Son;;;;;;;;;;;;;;;;;;;;;;Thomas Zegersz van Son
3099;KB;1742.0;Aegidius van der Dussen;Soethea Francoise Meerman;Aegidius van der Dussen & Soethea Francoise Meerman;;;Dordrecht;Delpho-Batavus;;;;;;;;;;;;;;;;;;;;;;Delpho-Batavus
3100;KB;1742.0;Cornelis van Heycop;Sara Pielat;Cornelis van Heycop & Sara Pielat;;;Dordrecht;P.L. Pielat;P. Pluym;Cornelis Schoon;Govert Klinkhamer;;;;;;;;;;;;;;;;;;;P.L. Pielat, P. Pluym, Cornelis Schoon, Govert Klinkhamer
3101;KB;1742.0;Jan Mannoury;Maria Bruynenburgh;Jan Mannoury & Maria Bruynenburgh;;;;Pieter Langendyk;D. Heerde;Abraham de Haen;Anthony Bartelink;;;;;;;;;;;;;;;;;;;Pieter Langendyk, D. Heerde, Abraham de Haen, Anthony Bartelink
3102;KB;1742.0;Bernardus de Bosch;Margareta van Leuvenig;Bernardus de Bosch & Margareta van Leuvenig;;;Sloterdijk;Gerrit Blaaupot;Dirk Willink;R. Blok;Lucas Pater;Lambert van den Broek;;;;;;;;;;;;;;;;;;Gerrit Blaaupot, Dirk Willink, R. Blok, Lucas Pater, Lambert van den Broek
3103;KB;1742.0;Frederik Guillaume baron van Reede Aegrim;Louisa Isabella Hermelina barones van Wassenaar van Duivenvoorde;Frederik Guillaume baron van Reede Aegrim & Louisa Isabella Hermelina barones van Wassenaar van Duivenvoorde;;;Amsterdam;Johannes Schroder;;;;;;;;;;;;;;;;;;;;;;Johannes Schroder
3104;KB;1742.0;Abraham van Goudswaert;Elisabet Outerman;Abraham van Goudswaert & Elisabet Outerman;;;Sloten;Jan de Timmerman;;;;;;;;;;;;;;;;;;;;;;Jan de Timmerman
3105;KB;1742.0;Paulus s' Graeuwen;Judith Schluiter;Paulus s' Graeuwen & Judith Schluiter;;;;Jan Melchiorsz van den Bosch;;;;;;;;;;;;;;;;;;;;;;Jan Melchiorsz van den Bosch
3106;KB;1742.0;Hendrik Das;Sara Bernardina Luykink;Hendrik Das & Sara Bernardina Luykink;;;Alkmaar;Junior P.V.H.;Jan Luyken;T. Hanius;Everard Janszoon de Burlett;Jan Koekebakker;Adriaan Koekebakker;H.C.;Everard de Burlett de jonge;R. Blok;Hendrik Houtkamp;Jan Jacobsz de Groot;Johanna Magdalena Koekebakker;Petrus Schregardus;;;;;;;;;;Junior P.V.H., Jan Luyken, T. Hanius, Everard Janszoon de Burlett, Jan Koekebakker, Adriaan Koekebakker, H.C., Everard de Burlett de jonge, R. Blok, Hendrik Houtkamp, Jan Jacobsz de Groot, Johanna Magdalena Koekebakker, Petrus Schregardus
3107;KB;1742.0;Hendrik Baalde;Willemina Vink;Hendrik Baalde & Willemina Vink;;;;;;;;;;;;;;;;;;;;;;;;;;
3108;KB;1742.0;Wiggardus Killewig;Johanna Françoise van Teylingen;Wiggardus Killewig & Johanna Françoise van Teylingen;;;Haarlem;Aarnoud de Bock;;Johan Cornelissen den Ebo;;;;;;;;;;;;;;;;;;;;Aarnoud de Bock, Johan Cornelissen den Ebo
3109;KB;1742.0;Jan Hooft;Maria Margareta Corver;Jan Hooft & Maria Margareta Corver;;;;Jan de Marre;;;;;;;;;;;;;;;;;;;;;;Jan de Marre
3110;KB;1742.0;Jan Hooft;Maria Margareta Corver;Jan Hooft & Maria Margareta Corver;;;Amsterdam;L. Coster;;;;;;;;;;;;;;;;;;;;;;L. Coster
3111;KB;1742.0;Jan Hooft;Maria Margareta Corver;Jan Hooft & Maria Margareta Corver;;;;Abraham Titsingh;;;;;;;;;;;;;;;;;;;;;;Abraham Titsingh
3112;KB;1742.0;Stephanus Bogaard;Syberta Magdalena van Griethuizen;Stephanus Bogaard & Syberta Magdalena van Griethuizen;;;Den Haag;Johan Gerard van Borckeloo;;;;;;;;;;;;;;;;;;;;;;Johan Gerard van Borckeloo
3113;KB;1742.0;Andries Munter;Margareta Johanna Bors van Waveren;Andries Munter & Margareta Johanna Bors van Waveren;;;Delft;Hendrik de Pyper;;;;;;;;;;;;;;;;;;;;;;Hendrik de Pyper
3114;KB;1742.0;Andries Munter;Margareta Johanna Bors van Waveren;Andries Munter & Margareta Johanna Bors van Waveren;;;;;;;;;;;;;;;;;;;;;;;;;;
3115;KB;1742.0;Jakob van Gesseler;Anna Kornelia Maria Nysingh;Jakob van Gesseler & Anna Kornelia Maria Nysingh;;;;Lucas Trip;Gerhard Alting;;;;;;;;;;;;;;;;;;;;;Lucas Trip, Gerhard Alting
3116;KB;1742.0;Jakob van Gesseler;Anna Kornelia Maria Nysingh;Jakob van Gesseler & Anna Kornelia Maria Nysingh;;;Amsterdam;Michiel van Bolhuis;Meinardus Hemsterhuis;Willem Arnold Alting;;;;;;;;;;;;;;;;;;;;Michiel van Bolhuis, Meinardus Hemsterhuis, Willem Arnold Alting
3117;KB;1742.0;Jakob van Gesseler;Anna Kornelia Maria Nysingh;Jakob van Gesseler & Anna Kornelia Maria Nysingh;;;Amsterdam;Jacob Wilhelm Lustig;;;;;;;;;;;;;;;;;;;;;;Jacob Wilhelm Lustig
3476;STCN;1742.0;Jacobus Beckeringh;Catharina Schram;Jacobus Beckeringh & Catharina Schram;Dirk Swart;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;
3858;STCN;1742.0;Frans van Limborch;Maria de Riemer;Frans van Limborch & Maria de Riemer;;;;B. Wens;;;;;;;;;;;;;;;;;;;;;;B. Wens
399;KB;1743.0;Joan onder de Linden;Mondina den Raven;Joan onder de Linden & Mondina den Raven;;;Rotterdam;Pieter Le Clercq;Jacob van Stamhorst;Jacobus van der Strengh;;;;;;;;;;;;;;;;;;;;Pieter Le Clercq, Jacob van Stamhorst, Jacobus van der Strengh
658;KB;1743.0;Pieter Hoeufft;Adriana van den Broucke;Pieter Hoeufft & Adriana van den Broucke;Joannes van Braam;Dordrecht;Amsterdam;Jacob Spex;Joannes van Braam;;;;;;;;;;;;;;;;;;;;;Jacob Spex, Joannes van Braam
795;KB;1743.0;Pieter van Schuylenburch;Maria Machteld van Sypesteyn;Pieter van Schuylenburch & Maria Machteld van Sypesteyn;Jan Bosch;Haarlem;Leiden;Jan S.H.R. Bosch;Antonius Faber;Jan Hondius;Wilhem Suderman;Pieter Langendyk;Jan Olthoff;Abraham van Beaumont;;;;;;;;;;;;;;;;Jan S.H.R. Bosch, Antonius Faber, Jan Hondius, Wilhem Suderman, Pieter Langendyk, Jan Olthoff, Abraham van Beaumont
837;KB;1743.0;Jan Adriaan Victer;Abilia Gillis;Jan Adriaan Victer & Abilia Gillis;De Broen;Amsterdam;Amsterdam;Anna Camper;Gysbert Gillis;Gerrit de Haas;Emilia Gillis;Anna de Haas;H.C.;L.P. van Eyk;Jan Adriaen van Eyk;Joannes van den Broek;Nikolaes Versteeg;;;;;;;;;;;;;Anna Camper, Gysbert Gillis, Gerrit de Haas, Emilia Gillis, Anna de Haas, H.C., L.P. van Eyk, Jan Adriaen van Eyk, Joannes van den Broek, Nikolaes Versteeg
899;KB;1743.0;Jacob van Rossen;Elizabet Hillebrants Verlaan;Jacob van Rossen & Elizabet Hillebrants Verlaan;Van Egmont;Amsterdam;Amsterdam;Hilbrand Verlaan;;;;;;;;;;;;;;;;;;;;;;Hilbrand Verlaan
1157;KB;1743.0;Jacob van Rossen;Elizabet Hillebrants Verlaan;Jacob van Rossen & Elizabet Hillebrants Verlaan;Arend van Huyssteen;Amsterdam;Den Haag;Simon Verlaan;Cornelia Verlaan;Jan (Jr) Verlaan;;;;;;;;;;;;;;;;;;;;Simon Verlaan, Cornelia Verlaan, Jan (Jr) Verlaan
1323;KB;1743.0;Coenraad van Son;Anna Hollebeek;Coenraad van Son & Anna Hollebeek;Jan van der Linde;Amsterdam;Leiden;Thomas van Son;Thomas Zegersz van Son;Hendrik de Wacker van Son;;;;;;;;;;;;;;;;;;;;Thomas van Son, Thomas Zegersz van Son, Hendrik de Wacker van Son
1446;KB;1743.0;Samuel Koenraat de Bruine;Cornelia van Nuwenhoff;Samuel Koenraat de Bruine & Cornelia van Nuwenhoff;Arnoldus Olofsen;Amsterdam;Amsterdam;Arnoldus Olofsen;;;;;;;;;;;;;;;;;;;;;;Arnoldus Olofsen
1784;KB;1743.0;Gerardus II Borstius;Susanna van Thiel;Gerardus II Borstius & Susanna van Thiel;Hendrik Smets;Amsterdam;Haarlem;Hendrik Smets;;;;;;;;;;;;;;;;;;;;;;Hendrik Smets
2230;KB;1743.0;Rudolphus Knuyse;Eva Wateringen;Rudolphus Knuyse & Eva Wateringen;;;Gouda;Willem Blaauw;;;;;;;;;;;;;;;;;;;;;;Willem Blaauw
2231;KB;1743.0;Johannes Ravesteyn;Maria de Vos;Johannes Ravesteyn & Maria de Vos;;;Dordrecht;Hendrik Ravesteyn;Adriaan van der Vliet;Nikolaes Versteeg;;;;;;;;;;;;;;;;;;;;Hendrik Ravesteyn, Adriaan van der Vliet, Nikolaes Versteeg
2232;KB;1743.0;Coenraad van Son;Anna Hollebeek;Coenraad van Son & Anna Hollebeek;;;Utrecht;Hendrik Fouree;;;;;;;;;;;;;;;;;;;;;;Hendrik Fouree
2233;KB;1743.0;Coenraad van Son;Anna Hollebeek;Coenraad van Son & Anna Hollebeek;;;Amsterdam;Coenraad Hollebeek;;;;;;;;;;;;;;;;;;;;;;Coenraad Hollebeek
2234;KB;1743.0;Coenraad van Son;Anna Hollebeek;Coenraad van Son & Anna Hollebeek;;;Leiden;Petrus Thierens;;;;;;;;;;;;;;;;;;;;;;Petrus Thierens
2235;KB;1743.0;Johan Assuerus Schorer;Maria Johanna van de Putte;Johan Assuerus Schorer & Maria Johanna van de Putte;;;;Jacobus Willemsen;Cornelis Anthony Vos;Petrus Dathenus;Jakobus Andriessen de Waal;Daniel de Smit;Kornelis van den Helm Boddaert;Johan Nz Steengracht;Jakob Johan Andriessen;Johannes Engelbertus Molt;Jan de Timmerman;Jacobus Goethals;Lucas Frederik Schorer;Willem Johannesz Schorer;Josua van Iperen;Hendrik de Witte Tierings;;;;;;;;Jacobus Willemsen, Cornelis Anthony Vos, Petrus Dathenus, Jakobus Andriessen de Waal, Daniel de Smit, Kornelis van den Helm Boddaert, Johan Nz Steengracht, Jakob Johan Andriessen, Johannes Engelbertus Molt, Jan de Timmerman, Jacobus Goethals, Lucas Frederik Schorer, Willem Johannesz Schorer, Josua van Iperen, Hendrik de Witte Tierings
2236;KB;1743.0;Hendrik Gerardsz Croese;Elizabeth de Cerff;Hendrik Gerardsz Croese & Elizabeth de Cerff;;;;Hendrik Gerardsz Croese;;;;;;;;;;;;;;;;;;;;;;Hendrik Gerardsz Croese
2299;KB;1743.0;Fredrik Duim;Catarina Coesvelt;Fredrik Duim & Catarina Coesvelt;;;Leiden;Fredrik Duim;;;;;;;;;;;;;;;;;;;;;;Fredrik Duim
2300;KB;1743.0;François Coppens;Elisabeth Sanderus;François Coppens & Elisabeth Sanderus;;;Amsterdam;Willem Blaauw;Hendrik Smets;;;;;;;;;;;;;;;;;;;;;Willem Blaauw, Hendrik Smets
2301;KB;1743.0;Juriaan Pool;Rachel Ruisch;Juriaan Pool & Rachel Ruisch;;;Leiden;Arnold Hoogvliet;;;;;;;;;;;;;;;;;;;;;;Arnold Hoogvliet
3118;KB;1743.0;Cornelis Munter;Margareta Kornelia van de Poll;Cornelis Munter & Margareta Kornelia van de Poll;;;Maassluis;;;;;;;;;;;;;;;;;;;;;;;
3119;KB;1743.0;Nicolaas Geelvinck (1706-1764);Hester Elisabeth Hooft;Nicolaas Geelvinck (1706-1764) & Hester Elisabeth Hooft;;;;Mattheus Temminck;;;;;;;;;;;;;;;;;;;;;;Mattheus Temminck
3120;KB;1743.0;Nicolaas Geelvinck (1706-1764);Hester Elisabeth Hooft;Nicolaas Geelvinck (1706-1764) & Hester Elisabeth Hooft;;;;Bernardus de Bosch;;;;;;;;;;;;;;;;;;;;;;Bernardus de Bosch
3121;KB;1743.0;Nicolaas Geelvinck (1706-1764);Hester Elisabeth Hooft;Nicolaas Geelvinck (1706-1764) & Hester Elisabeth Hooft;;;Amsterdam;Arend Rog-aar;;;;;;;;;;;;;;;;;;;;;;Arend Rog-aar
3122;KB;1743.0;Jacobus Gysbertus Wichmans;Martha Henriëtta de Superville;Jacobus Gysbertus Wichmans & Martha Henriëtta de Superville;;;Amsterdam;Jacob Frederik Lantsheer;Benjamin Taats;J.B.;;;;;;;;;;;;;;;;;;;;Jacob Frederik Lantsheer, Benjamin Taats, J.B.
3123;KB;1743.0;Aelbrecht van der Burch;Jacomina Immerseel;Aelbrecht van der Burch & Jacomina Immerseel;;;Amsterdam;Johannes Schroder;Jan de Kruyff;;;;;;;;;;;;;;;;;;;;;Johannes Schroder, Jan de Kruyff
3124;KB;1743.0;Jan Wybo;Elisabeth Joanna Canzius;Jan Wybo & Elisabeth Joanna Canzius;;;Amsterdam;Jan de Cerff;Hendrik Fiers Ravesteyn;David Kappeine;;;;;;;;;;;;;;;;;;;;Jan de Cerff, Hendrik Fiers Ravesteyn, David Kappeine
3125;KB;1743.0;Johannes Broekhals;Maria Jakoba Versluis;Johannes Broekhals & Maria Jakoba Versluis;;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
3126;KB;1743.0;Jan Fittel;Welmet Roos;Jan Fittel & Welmet Roos;;;Amsterdam;Cornelis Schoon;;;;;;;;;;;;;;;;;;;;;;Cornelis Schoon
3127;KB;1743.0;Johan (Jr) Verstolk;Magdalena van Royen;Johan (Jr) Verstolk & Magdalena van Royen;;;Krommenie;Jacob Schim;Hendrik Schim;;;;;;;;;;;;;;;;;;;;;Jacob Schim, Hendrik Schim
3128;KB;1743.0;Meinard Uytwerf;Johanna Margareta Boogen;Meinard Uytwerf & Johanna Margareta Boogen;;;Maassluis;Theodoor van Snakenburg;;;;;;;;;;;;;;;;;;;;;;Theodoor van Snakenburg
3129;KB;1743.0;Jan Cornelis Ockersse;Adriana Susanna Eversdyk;Jan Cornelis Ockersse & Adriana Susanna Eversdyk;;;Utrecht;Johan Steengracht;Lucas Frederik Schorer;;;;;;;;;;;;;;;;;;;;;Johan Steengracht, Lucas Frederik Schorer
3130;KB;1743.0;Christiaen van Orsoy;Cornelia Noordhoorn;Christiaen van Orsoy & Cornelia Noordhoorn;;;Woerden;Carel Bouman;Jan Arnold van Orsoy;Arnold Bouman;;;;;;;;;;;;;;;;;;;;Carel Bouman, Jan Arnold van Orsoy, Arnold Bouman
3131;KB;1743.0;Abraham I Honkoop;Catharina Domhoff;Abraham I Honkoop & Catharina Domhoff;;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
3132;KB;1743.0;Johannes Laverman;Eva Dermout;Johannes Laverman & Eva Dermout;;;Amsterdam;Arent Laverman;J. de Kruys;;;;;;;;;;;;;;;;;;;;;Arent Laverman, J. de Kruys
3133;KB;1743.0;Jacob van Rossen;Elizabet Hillebrants Verlaan;Jacob van Rossen & Elizabet Hillebrants Verlaan;;;Amsterdam;Cornelis Schoon;;;;;;;;;;;;;;;;;;;;;;Cornelis Schoon
3134;KB;1743.0;Albert Verlaan;Grietje Kat;Albert Verlaan & Grietje Kat;;;Amsterdam;Hilbrand Verlaan;;;;;;;;;;;;;;;;;;;;;;Hilbrand Verlaan
3135;KB;1743.0;Albert Verlaan;Grietje Kat;Albert Verlaan & Grietje Kat;;;;Cornelis Schoon;;;;;;;;;;;;;;;;;;;;;;Cornelis Schoon
3761;STCN;1743.0;Pieter van der Meulen junior;Judith Holthuysen;Pieter van der Meulen junior & Judith Holthuysen;Joris van der Woude;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;
3909;STCN;1743.0;Lambertus Thym;Maria Theresia van Malsen;Lambertus Thym & Maria Theresia van Malsen;;;;Joanna Katharina van Malsen;;;;;;;;;;;;;;;;;;;;;;Joanna Katharina van Malsen
3957;Steur;1743.0;Harmanus Veeckens;Debora Elizabeth Kramp;Harmanus Veeckens & Debora Elizabeth Kramp;Hendrik Stockink;Amsterdam;;N. Dyl;Jacob Balk;P.V.D.;H.S.;;;;;;;;;;;;;;;;;;;N. Dyl, Jacob Balk, P.V.D., H.S.
3;KB;1744.0;Johan Schorer;Petronella Maria de Beaufort;Johan Schorer & Petronella Maria de Beaufort;Petrus Dathenus;Middelburg;Amsterdam;David Fiers Kappeine;Johan Steengracht;Lucas Frederik Schorer;Petrus Dathenus;;;;;;;;;;;;;;;;;;;David Fiers Kappeine, Johan Steengracht, Lucas Frederik Schorer, Petrus Dathenus
35;KB;1744.0;Nicolaas Simon van Winter;Johanna Muhl;Nicolaas Simon van Winter & Johanna Muhl;;;Amsterdam;Nicolaas Simon van Winter;Agatha Maria Sena;Elisabeth van Leeuwaarden;Bernardus de Bosch;;;;;;;;;;;;;;;;;;;Nicolaas Simon van Winter, Agatha Maria Sena, Elisabeth van Leeuwaarden, Bernardus de Bosch
38;KB;1744.0;Gerard Winter;Aletta Maria Duyvensz;Gerard Winter & Aletta Maria Duyvensz;Hendrik Callenbach;Enkhuizen;Gorinchem;Jan Biman;Anthony Bartelink;;;;;;;;;;;;;;;;;;;;;Jan Biman, Anthony Bartelink
39;KB;1744.0;Gerard Winter;Aletta Maria Duyvensz;Gerard Winter & Aletta Maria Duyvensz;Hendrik Callenbach;Enkhuizen;Amsterdam;Hendrik Callenbach;;;;;;;;;;;;;;;;;;;;;;Hendrik Callenbach
261;KB;1744.0;Christiaen de Groot;Aletta Harthals;Christiaen de Groot & Aletta Harthals;Anthoni de Groot;s-Gravenhage;Haarlem;Christiaen de Groot;Jan de (Antoonz) Groot;Willem de (Antoonz) Groot;Steven de (Antoonz) Groot;;;;;;;;;;;;;;;;;;;Christiaen de Groot, Jan de (Antoonz) Groot, Willem de (Antoonz) Groot, Steven de (Antoonz) Groot
315;KB;1744.0;Joannes Petrus Driessen;Anna Christina Alberthoma;Joannes Petrus Driessen & Anna Christina Alberthoma;Benedictus Greydanus;Groningen;Amsterdam;Frederika Alida Tegneus;Johannes Fockens;;;;;;;;;;;;;;;;;;;;;Frederika Alida Tegneus, Johannes Fockens
337;KB;1744.0;Johan Marinus Chalmers;Elisabeth Pottey;Johan Marinus Chalmers & Elisabeth Pottey;;;;Johan Steengracht;Jakob Johan Andriessen;;;;;;;;;;;;;;;;;;;;;Johan Steengracht, Jakob Johan Andriessen
365;KB;1744.0;Everhard François Schimmelpenning;Sara Du Try;Everhard François Schimmelpenning & Sara Du Try;;;;Carel Johan Houttuyn;;Joannes Braam van Yver;;;;;;;;;;;;;;;;;;;;Carel Johan Houttuyn, Joannes Braam van Yver
380;KB;1744.0;Michael Johan van Kampen;Agatha Elikink;Michael Johan van Kampen & Agatha Elikink;;;Amsterdam;Bernardus Elikink;Isaac Bronkhorst;;;;;;;;;;;;;;;;;;;;;Bernardus Elikink, Isaac Bronkhorst
435;KB;1744.0;Johan Robyn;Petronelle Margareta Bernards;Johan Robyn & Petronelle Margareta Bernards;;;Haarlem;Joannes Albertus Jacobi;Arnold Hoogvliet;Dirk Smits;Joannes Badon;;;;;;;;;;;;;;;;;;;Joannes Albertus Jacobi, Arnold Hoogvliet, Dirk Smits, Joannes Badon
689;KB;1744.0;Wynand Koopman;Helena Margareta Slebosch;Wynand Koopman & Helena Margareta Slebosch;Jan Servaas Bosch;Utrecht;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
922;KB;1744.0;Elias Schellinger;Elizabeth Buys;Elias Schellinger & Elizabeth Buys;Steven van Esveldt;Amsterdam;Amsterdam;Steven van Esveldt;;;;;;;;;;;;;;;;;;;;;;Steven van Esveldt
