0;Database;year;Bruidegom;Bruid;Bruidspaar;Drukker;Plaats_druk;Plaats_huwelijk;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22;Alleauteurs;n-authors;firstname_bride;lastname_bride;firstname_groom;lastname_groom;firstname_printer;lastname_printer;bride_authors;groom_authors;bride_printer;groom_printer;Printer_authors;lastnameprinter_authors;bride_authors_count;groom_authors_count
205;KB;1688.0;Jan Jansen Louwe;Anna Roos;Jan Jansen Louwe & Anna Roos;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Anna;Roos;Jan Jansen;Louwe;Boeteman;;False;False;False;False;False;True;0;0
2390;KB;1688.0;Tieleman van ter Ney;Sara Targier;Tieleman van ter Ney & Sara Targier;;;;David van Hoogstraten;Anthony Jansen;Abraham Targier;;;;;;;;;;;;;;;;;;;;David van Hoogstraten, Anthony Jansen, Abraham Targier;3;Sara;Targier;Tieleman van ter;Ney;;;True;False;False;False;True;True;1;0
215;KB;1689.0;Pieter van Halmael Adams;Suzanna Betrang;Pieter van Halmael Adams & Suzanna Betrang;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Suzanna;Betrang;Pieter van Halmael;Adams;Boeteman;;False;False;False;False;False;True;0;0
224;KB;1689.0;Jacob Teyler;Magdalena de Haan;Jacob Teyler & Magdalena de Haan;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Magdalena de;Haan;Jacob;Teyler;Boeteman;;False;False;False;False;False;True;0;0
174;KB;1690.0;Vredenryk Beets;Sara Vorsterman;Vredenryk Beets & Sara Vorsterman;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Sara;Vorsterman;Vredenryk;Beets;Boeteman;;False;False;False;False;False;True;0;0
177;KB;1690.0;Theodorus van Born;Maria van der Schuuren;Theodorus van Born & Maria van der Schuuren;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Maria van der;Schuuren;Theodorus van;Born;Boeteman;;False;False;False;False;False;True;0;0
209;KB;1690.0;Jan de Neufville;Joanna van Beeck;Jan de Neufville & Joanna van Beeck;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Joanna van;Beeck;Jan de;Neufville;Boeteman;;False;False;False;False;False;True;0;0
2395;KB;1690.0;Jan Copyn;Janneke Terwen;Jan Copyn & Janneke Terwen;;;Dordrecht;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Janneke;Terwen;Jan;Copyn;;;False;False;False;False;True;True;0;0
59;KB;1691.0;Herman ten Kate;Jozyna Bronkhorst;Herman ten Kate & Jozyna Bronkhorst;Boeteman;Amsterdam;Middelburg;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Jozyna;Bronkhorst;Herman ten;Kate;Boeteman;;False;False;False;False;False;True;0;0
171;KB;1691.0;Pieter van Beek;Katarina Aldeweerelt;Pieter van Beek & Katarina Aldeweerelt;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Katarina;Aldeweerelt;Pieter van;Beek;Boeteman;;False;False;False;False;False;True;0;0
182;KB;1691.0;Andries van Dale;Maria Dop;Andries van Dale & Maria Dop;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Maria;Dop;Andries van;Dale;Boeteman;;False;False;False;False;False;True;0;0
196;KB;1691.0;Jan van Koppenol;Cornelia Aartsen;Jan van Koppenol & Cornelia Aartsen;Boeteman;Amsterdam;Maassluis;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Cornelia;Aartsen;Jan van;Koppenol;Boeteman;;False;False;False;False;False;True;0;0
219;KB;1691.0;Hendrik Oosterling;Kornelia de Veer;Hendrik Oosterling & Kornelia de Veer;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Kornelia de;Veer;Hendrik;Oosterling;Boeteman;;False;False;False;False;False;True;0;0
2400;KB;1691.0;Martinis Davidse Kleewens;Elizabet van Aalst;Martinis Davidse Kleewens & Elizabet van Aalst;;;Goes;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Elizabet van;Aalst;Martinis Davidse;Kleewens;;;False;False;False;False;True;True;0;0
52;KB;1692.0;Gillis Teyler;Maria van der Mersch;Gillis Teyler & Maria van der Mersch;Boeteman;Amsterdam;Eelde;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Maria van der;Mersch;Gillis;Teyler;Boeteman;;False;False;False;False;False;True;0;0
67;KB;1692.0;Isaac Feitama;Katharina Rooleeuw;Isaac Feitama & Katharina Rooleeuw;Boeteman;Amsterdam;Leiden;Anthony Jansen;Eduard Feitama;;;;;;;;;;;;;;;;;;;;;Anthony Jansen, Eduard Feitama;2;Katharina;Rooleeuw;Isaac;Feitama;Boeteman;;False;True;False;False;False;True;0;1
68;KB;1692.0;Antoni Kops;Maria Vermande;Antoni Kops & Maria Vermande;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;Dirk ten Kate;Johannes Bredenburg;A. Timmermans;;;;;;;;;;;;;;;;;;;Anthony Jansen, Dirk ten Kate, Johannes Bredenburg, A. Timmermans;4;Maria;Vermande;Antoni;Kops;Boeteman;;False;False;False;False;False;True;0;0
195;KB;1692.0;Philip van Kemmena;Katarina Elizabet van Thoor;Philip van Kemmena & Katarina Elizabet van Thoor;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Katarina Elizabet van;Thoor;Philip van;Kemmena;Boeteman;;False;False;False;False;False;True;0;0
203;KB;1692.0;Dirk van Lennep;Susanna Leeuw;Dirk van Lennep & Susanna Leeuw;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Susanna;Leeuw;Dirk van;Lennep;Boeteman;;False;False;False;False;False;True;0;0
228;KB;1692.0;Kornelis van Walre;Elizabet Roeters;Kornelis van Walre & Elizabet Roeters;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Elizabet;Roeters;Kornelis van;Walre;Boeteman;;False;False;False;False;False;True;0;0
229;KB;1692.0;Laurens Willing;Anna Fries;Laurens Willing & Anna Fries;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Anna;Fries;Laurens;Willing;Boeteman;;False;False;False;False;False;True;0;0
239;KB;1692.0;Kornelis Vinkestein;Maiken Hooft;Kornelis Vinkestein & Maiken Hooft;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Maiken;Hooft;Kornelis;Vinkestein;Boeteman;;False;False;False;False;False;True;0;0
2140;KB;1692.0;Dirk van Oosterwyk;Levyna Verbeek;Dirk van Oosterwyk & Levyna Verbeek;;;Utrecht;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Levyna;Verbeek;Dirk van;Oosterwyk;;;False;False;False;False;True;True;0;0
2402;KB;1692.0;Herman Schreder;Christina Almonde;Herman Schreder & Christina Almonde;;;Dantzik;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Christina;Almonde;Herman;Schreder;;;False;False;False;False;True;True;0;0
4;KB;1693.0;Pieter Koolaert;Elizabeth Hoofman;Pieter Koolaert & Elizabeth Hoofman;Lescailje;Amsterdam;Haarlem;Katharina Lescailje;David van Hoogstraten;Joan Pluimer;Hermannus Angelkot;Jacob Storm;Abraham Bógaert;;;;;;;;;;;;;;;;;Katharina Lescailje, David van Hoogstraten, Joan Pluimer, Hermannus Angelkot, Jacob Storm, Abraham Bógaert;6;Elizabeth;Hoofman;Pieter;Koolaert;Lescailje;;False;False;False;False;True;True;0;0
