id;label;function;year;place_print
243;Karel d' Amour & Geertruyd Gales;Bruidspaar;1707.0;
244;Jacobus van Hardenberg;Drukker;;Amsterdam
245;I.G.S.F.;Auteur;;
246;Jan van Meekeren & Margareta Rutgers;Bruidspaar;1707.0;
247;Cornelis van Eeke;Auteur;;
248;Herkules Bouman;Auteur;;
249;W.S.;Auteur;;
250;Matthys Westendorp & Elizabeth Hartsen;Bruidspaar;1707.0;
251;Gerrit Fortgens & Anna Gryspeert;Bruidspaar;1707.0;
252;Lucas Schermer;Auteur;;
253;Jacob Slagregen & Agata van Gent;Bruidspaar;1707.0;
254;Pieter Fries & Anna van der Steen;Bruidspaar;1707.0;
255;P. Kervel;Auteur;;
256;Jacob van Oosterwyk & Anna Bruyn;Bruidspaar;1708.0;
257;Adriaan Spinniker;Auteur;;
258;P. van Loo;Auteur;;
259;Jan van Gysen;Auteur;;
260;J.V.;Auteur;;
261;G.B.;Auteur;;
262;Jacob Tomasz Teyler & Hester Terwen;Bruidspaar;1708.0;
263;Kornelis Willemsz Westerbaen;Auteur;;
264;Jan Hooft & Anna Rave;Bruidspaar;1708.0;
265;George Bruyn & Lavina van Oosterwyk;Bruidspaar;1708.0;
266;Dirk Smout;Auteur;;
267;Anthony Koppenol;Auteur;;
268;Jan Walraven & Margareta Trip;Bruidspaar;1708.0;
269;Samuel Halma;Drukker;;Amsterdam
270;Paulus Loot & Margareta Du Quesnoy;Bruidspaar;1708.0;
271;Pr Amour;Auteur;;
272;David Mattheus de Neufville & Jacoba van Gelder;Bruidspaar;1708.0;
273;L.C.;Auteur;;
274;Jacob Adriaansz Hennebo & Magdalena Barnaart;Bruidspaar;1708.0;
275;Joannes Houbakker;Auteur;;
276;Anthony Paauw & Willemina Arnold;Bruidspaar;1708.0;
277;Hercules van Hoornbeek;Auteur;;
278;Joannes Kroon & Ermina Geubels;Bruidspaar;1708.0;
279;Martinus Bodisco;Auteur;;
280;Jordaan Luchtmans & Sara van Musschenbroek;Bruidspaar;1708.0;
281;Willem Kops & Anna van Gelder;Bruidspaar;1708.0;
282;Jacob Engelgeer & Maria Bonte;Bruidspaar;1709.0;
283;Evert Visscher;Auteur, Drukker;;
284;Hendrik van Eyk & Margareta van Gent;Bruidspaar;1709.0;
285;David van Halmael & Maria Bosch;Bruidspaar;1709.0;
286;Aarnoud Fortgens & Elisabet Hennebo;Bruidspaar;1709.0;
287;Barent Visscher;Drukker;;Amsterdam
288;Lucas F.R. Rotgans;Auteur;;
289;J. Fortgens;Auteur;;
290;Matthys Houbakker & Agneta Kille;Bruidspaar;1709.0;
291;Benedictus van Ryneveld & Johanna Veen;Bruidspaar;1709.0;
292;Enoch Linklaan Krook;Auteur;;
293;Dirk Kool & Katharina van Bronkhorst;Bruidspaar;1709.0;
294;Frederik Hendrik Wetstein;Auteur;;
295;H. van Stryen;Auteur;;
296;Nicolaas Le Seur;Auteur;;
297;Joannes Houbakker & Dina van der Smisse;Bruidspaar;1709.0;
298;M.B.;Auteur;;
299;Joannes Haverkamp;Auteur;;
300;Jacob Viruly;Auteur;;
301;Theodorus Fries & Cornelia de Clercq;Bruidspaar;1709.0;
302;Hercules van Hoornbeek & Maria Arnold;Bruidspaar;1709.0;
303;Abraham de Neufville & Anna de Neufville;Bruidspaar;1709.0;
304;Pieter Gys (1678-1759) & Maria van den Bergh;Bruidspaar;1710.0;
305;Jan Volkerts Visscher & Hildegonda de Wilde;Bruidspaar;1710.0;
306;Pieter van den II Berge;Auteur, Drukker;;Amsterdam
307;Pieter van den Berge;Auteur;;
308;Gysbert de Lange & Maria de Wilde;Bruidspaar;1710.0;
309;David de Koning;Auteur;;
310;Mattheus van Hoogstraten;Auteur;;
311;Dirk Hagen & Anna Bleeker;Bruidspaar;1710.0;
312;Jacob Coesaart & Ida Arnold;Bruidspaar;1710.0;
313;Victor de Haan & Anna van Gesser;Bruidspaar;1710.0;
314;Jan de Haan;Auteur;;
315;I. Pz. de Haan;Auteur;;
316;A. van der Styl;Auteur;;
317;Thomas Joannes van de Weetering & Anna Welzing;Bruidspaar;1710.0;
318;Anthonius van Oostrum & Catharina Scholten;Bruidspaar;1710.0;
319;Petrus Ghys & Mariam Bergiam;Bruidspaar;1710.0;
320;Anthoni van Oostrum & Catharina Scholten;Bruidspaar;1710.0;
321;Lodewyk van Dam & Agatha de Bye;Bruidspaar;1711.0;
322;Johan Steengracht;Auteur;;
323;Gilbert de Flines & Susanna Elisabeth Du Pré;Bruidspaar;1711.0;
324;Jan Frederik Teeckman;Auteur;;
325;F.V.W.;Auteur;;
326;P.A.;Auteur;;
327;I.E.F.;Auteur;;
328;Coenraad Groenewoud & Aaltje Genis;Bruidspaar;1711.0;
329;Elisabet Groenewoud;Auteur;;
330;Gerrit Konynenberg & Maria Ritter;Bruidspaar;1711.0;
331;N. van Helderenberg;Auteur;;
332;David Rutgers (1682-1757) & Maria de Neufville;Bruidspaar;1711.0;
333;Daniel Rutgers;Auteur;;
334;Gilbert de Flines;Auteur;;
335;Gerard van Heyningen & Elisabeth de Clercq;Bruidspaar;1711.0;
336;Pieter Anderson & Clara d' Amour;Bruidspaar;1711.0;
337;L.B.;Auteur;;
338;Gualterus de Raad & Anna Maria Muilman;Bruidspaar;1711.0;
339;Jacob Sintefoi & Geertruid van Middelandt;Bruidspaar;1711.0;
340;Jacob Aarnoudsz van Lennep & Petronella de Neufville;Bruidspaar;1711.0;
341;Arnold Houbraken;Auteur;;
342;Leonard van Velsen & Anna Vorsterman;Bruidspaar;1711.0;
343;Jan Geldorp & Maria van Limburg;Bruidspaar;1711.0;
344;Jan Clicquet & Maria Welzing;Bruidspaar;1711.0;
345;Pieter Anthony de Huybert;Auteur;;
346;M. Oosterland;Auteur;;
347;Marinus Oudenaarde & Magdalena van der Laan;Bruidspaar;1711.0;
348;Jacobus Boutkan & Hester van der Kindert;Bruidspaar;1712.0;
349;Jakob Zeeus;Auteur;;
350;Frans Greenwood;Auteur;;
351;A. van Sleyden;Auteur;;
352;Abraham Peyster;Auteur;;
353;Anthony Rooleeuw & Anna de Wilde;Bruidspaar;1712.0;
354;Dirk van der Schelling & Anna Schryver;Bruidspaar;1712.0;
355;Pieter Langendyk;Auteur;;
356;Pieter Adriaensz Verwer;Auteur;;
357;J. Resanschavinum Boncq;Auteur;;
358;François van Harencarspel & Anna Apolonia Looten;Bruidspaar;1712.0;
359;Adriaan Hoppestein;Auteur;;
360;Abraham Barnaart & Elisabeth van der Hoef;Bruidspaar;1712.0;
361;Roelof Veening & Hendrina Thin;Bruidspaar;1712.0;
362;Kornelis Jongerhelt;Auteur;;
363;T. van Sadelhof;Auteur;;
364;Izak Thin;Auteur;;
365;Gerrit Veening;Auteur;;
366;Dirk van der Meer & Debora Elias;Bruidspaar;1712.0;
367;Jan van Vliet;Auteur;;
368;Jan Graauwhart;Auteur;;
369;Jan van den Bosch & Susanna Hobrink;Bruidspaar;1712.0;
370;P. van den Bosch;Auteur;;
371;Adriaan van Loon & Apollonia Looten;Bruidspaar;1712.0;
372;Willem van Laar & Livina van Coppenoll;Bruidspaar;1712.0;
373;Joannes Trip & Elisabeth Tielens;Bruidspaar;1713.0;
