Broer en Jan Appelaer;1
Abraham van Laren;1
Pieter van der I Eyk;1
Sebastianus (wed) Schouten;1
Carel Pieman;1
Willem Jansz Cloppenburgh;1
Caspar Böhm Fritsch;1
Caspar Commelin;1
Pieter van der (wed) Burgh;1
Casparus Lootsman;1
Christiaan Menssendyk;1
Rem Jansz Boerman;1
Adriaan Beverwyck;1
Benedictus Greydanus;1
Bartholomeus van Hogenacker;1
Arnoldus van den Eynden;1
Assuerus Lansvelt;1
Asuerus van I Goor;1
Sebastiaen Wermbouts;1
Samuel Halma;1
Bakker;1
Salomon Wagenaer;1
Baltus de Wild;1
Willem Gla;1
Robert Blokland;1
Barent Das;1
Barent Otsz;1
Robbert Tinneken;1
Robartus Oudemeyer;1
Rieuwert Dircksz van Baardt;1
Frans Pels;1
Gabriel de Roy;1
François Michel Crespin;1
Jacob Ysbrantsz;1
Jacob IJsbrantsz Bos;1
Jacob Jansz Paets;1
Johannes Heyligert;1
Jacob Lambrechtse;1
Jacob Pietersz Wachter;1
Johannes Eestjen;1
Jacob Stichter;1
Jacob Thomasz Sergeant;1
Jacob de (wed) Jonge;1
Johannes I Hasebroek;1
Jacob de Veer;1
Zacharias Romberg;1
Jacob van Biesen;1
Jacob van Poolsum;1
Johannes Duim;1
Jacob van Velsen;1
Johannes Du Vivié;1
Jacobus Bosch;1
Jacob II Sipkes;1
Jacob Dircksz Plantenburgh;1
Jacobus Hayman;1
Isaak de Haan;1
Johannes Tongerloo;1
Huybert Bent;1
Isaac Beauregard;1
Johannes Smit;1
Isaac Stokmans;1
Isaac Willemsz van der Beeck;1
Isaac van Waesberge;1
Johannes Marshoorn;1
Isaak van der Putte;1
Johannes I Ratelband;1
Johannes Luzac;1
Izaak van Hulkenroy;1
Izaak van Ruynen;1
Johannes Kitto;1
Johannes Keetelaar;1
Jacob (wed) Jacobsz;1
Johannes I Strander;1
Jacob Bolt;1
Johannes Dalemans;1
Jacobus Ketel;1
Hero Nauta;1
Jan Pietersz Waelpot;1
Joannes Naeranus;1
Joannes Groenewout;1
Joannes Boucart;1
Jan Kamers;1
Jan Kouwe;1
Jan Mol;1
Jan Nieuwenhuyzen;1
Joachim van (wed) Dyck;1
Jasper Tournay;1
Joannes Ooms;1
Jan van Velthoven;1
Jan Servaas Bosch;1
Jan Soer;1
Jan Veely;1
Jan Visser;1
Jan Willem de Groot;1
Jan Willemsz van Sticht;1
Jan de II Paaynaar;1
Jan Daniel Beman;1
Jan Claessen;1
Jacobus Meul;1
Jacobus van Poelje;1
Jacobus Montanus;1
Johannes Cost;1
Jacobus Robyn;1
Jacobus Stanhoffius;1
Johannes Carolus Royaards;1
Johannes Boekholt;1
Jacobus de Jongh;1
Johan van den Bergh (1664-1755);1
Jacobus van der Kloes;1
Jan Boom;1
Jacobus van der Wiel;1
Jacques Boursse;1
Jakobus van der Vijle;1
Johan van Stuyvesant;1
Johan Visch;1
Johan Misson;1
Johan Besseling;1
Johan Bakker;1
Hieronimus Koopman;1
Johannes Vis-hoeck;1
Mozes van Hulkenroy;1
Gijsbert de Groot Keur;1
Marcelis van Heems;1
Gerrit Sweerssz;1
Ludolph Breeckevelt;1
Lucas Kloppenburg;1
Gerrit van den Broek;1
Lodewijck Spillebout;1
Gijsbert Oudshoorn;1
Levijn van I Dijck;1
Gijsbert van Paddenburg;1
Gerrit Kuyper;1
Lambert Koop;1
Lambert Bertus;1
Gooswynus van Duyn;1
Kornelis van I Tongerlo;1
Gustavus Martini;1
H. van Stralen;1
Kornelis van Hamont;1
Hans Passchiers van Wesbusch;1
Gerrit Noordbeek;1
Marten Smets;1
Klaes Wassenaar;1
Geertruyd van Kessel;1
Michiel (wed) Pietersz;1
Meinardus van Dreunen;1
Frederik Schotsman;1
Frederik van (wed) Metelen;1
Frederik van Metelen;1
Matthys Dalemans;1
Jan van (V) Turnhout;1
Gabriël Clement;1
Mattheus van Nispen;1
Gerrit Harmansz;1
Geldrop;1
Matthaeus Visch;1
Gerard van Wyen;1
Gerardus (I) Borstius;1
Martinus van der (wed) Veen;1
Martinus van Ternaten;1
Gerardus van Hattum;1
Gerret van Leeuwen;1
Hans Walschaert;1
Harman Huyghensz Moininckx;1
Hermanus Uitwerf;1
Henrick Raket;1
Hendrik van (wed) Straalen;1
Joost Jansz Verheul;1
Joost I (wed) Pluymer;1
Hendrik van Monnem;1
Hendrik van Straalen;1
Johannis van Bosvelt;1
Henri Schelte;1
Johannes van Geemert;1
Henrick Smidt;1
Hendrik Zwart;1
Henrik Heymans;1
Johannes van Eyk;1
Herman Gerritsz van de Grave;1
Herman Hardenberg;1
Herman Theunisz Kranepoel;1
Hermannus Goddaeus;1
Hermannus I Ribbius;1
Johannes de Cros;1
Hendrik de Leth;1
Joris (wed) Veseler;1
Harmanus Sweeres;1
Justus van der Hoeve;1
Harmanus van Leeuwen;1
Harmen Jansz (erven) Muller;1
Hendrick Barentsz;1
Klaas de Wit;1
Hendrick Rintjes;1
Klaas Swerus;1
Klaas Kemna;1
Keur Gijsbert de Groot;1
Hendrik Harmensz;1
Hendrik Vieroot;1
Hendrik Harmensz Boterenbrood;1
Hendrik I Bruyn;1
Hendrik I Palier;1
Jurriaen van (wed) Poolsum;1
Jurriaan van Paddenburg;1
Hendrik Stam;1
Jozua Rex;1
Hendrik Tjercks de Vries;1
Aart Dircksz (wed) Oossaan;1
