0;Datum;Jaar;Bruidegom;Bruid;Drukker;Plaats;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22
89;1668-08-28;1668;Constantijn Huygens (1628-1697);Susanna Ryckerts;Christoffel II Doll;Amsterdam;Dirk van Leyden van Leeuwen ;;;;;;;;;;;;;;;;;;;;;
90;1719-11-15;1719;Arnoldus Commelin;Susanna Catharina Homoet;Hermanus Ackerman;Amsterdam;J. Dull ;;;;;;;;;;;;;;;;;;;;;
91;1681-05-11;1681;Antoni Blok;Agneta Blok;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
92;1693-03-29;1693;Antoni van Maurik;Geertruid van Duisburg;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
93;1697-04-30;1697;Jacob van Hoek;Sara d' Vogel;Hendrik van I (wed) Damme;Amsterdam;P.S.;;;;;;;;;;;;;;;;;;;;;
94;1697-11-05;1697;Abraham van Aardenberg;Louisa van Wesseling;Johannes van Aardenberg;Amsterdam;Jan Goeree ;J. de Roode ;;;;;;;;;;;;;;;;;;;;
96;1699-03-22;1699;Arnoud van Haalen;Margareta Rooleeuw;Boeteman;Amsterdam;Eduard Feitama ;Isaac Feitama ;;;;;;;;;;;;;;;;;;;;
97;1699-04-07;1699;Johannes Hermansz;Maria van den Burgh;Willem de Coup;;D.D.R.;;;;;;;;;;;;;;;;;;;;;
98;1699-04-07;1699;Johannes Hermansz;Maria van den Burgh;Andries van Damme;Amsterdam;Hendrik Hermansz ;;;;;;;;;;;;;;;;;;;;;
99;1700-05-09;1700;Jacob Pietersz van Neelen;Belia Brouwer;Gerardus I Borstius;Amsterdam;Jacob Jacobsz van Neelen ;;;;;;;;;;;;;;;;;;;;;
100;1701-04-26;1701;Frederik Montanus;Anna Cornelia Blom;Willem (wed) Clerck;Amsterdam;Joannes Ubelman ;Cornelis van Walcheren ;;;;;;;;;;;;;;;;;;;;
101;1701-05-14;1701;David Leeuw;Kornelia Hooft;Arentsz;Amsterdam;Isaac Feitama ;Eduard Feitama ;;;;;;;;;;;;;;;;;;;;
102;1703-06-19;1703;Jan Bronkhorst;Geertruid Blaaupot;Arentsz;Amsterdam;Adriaan Spinniker ;Daniel Willink ;Gerrit Fortgens ;;;;;;;;;;;;;;;;;;;
103;1703-12-16;1703;Pieter Noortdyk;Kornelia de Veer;Arentsz;Amsterdam;Adriaan Spinniker ;Ludolph Smids ;Jan de Regt ;Dirk Smout ;;;;;;;;;;;;;;;;;;
104;1704-02-07;1704;Herman ten Kate;Geertruid van Gelein;Arentsz;Franeker;Adriaan Spinniker ;Cornelis van Eeke ;;;;;;;;;;;;;;;;;;;;
106;1706-06-22;1706;Jan de Heger;Margrieta van Leuve;Arentsz;;Roeland van Leuve ;D.J.H.;F.V.A.Jz;;;;;;;;;;;;;;;;;;;
108;1707-01-09;1707;Pieter Carstenson;Margareta de Lover;Jacob Brouwer;Amsterdam;Regnerus de Lover ;;;;;;;;;;;;;;;;;;;;;
109;1707-05-10;1707;Salomon Verschuilenburch;Geertruida van Duren;Evert Cramer;Enkhuizen;A.W. van Limburch ;T.V.V.;;;;;;;;;;;;;;;;;;;;
110;1707-10-09;1707;Hendrik Hobrink;Maria Bruyn;Carel Allard;Rotterdam;L. Hobrink ;Abraham Allard ;Kornelis Willemsz. Westerbaen ;J.V.;M.B.;;;;;;;;;;;;;;;;;
111;1708-02-05;1708;Alexander van Leuvenig;Anna Schorn;Lambert Bertus;Amsterdam;J. Helgers ;Bartholomeus van Leuvenig ;I.D.B.;;;;;;;;;;;;;;;;;;;
112;1696-03-27;1696;Joan van der Helst;Petronella Hobbe;Boeteman;Amsterdam;R. Stapel ;;;;;;;;;;;;;;;;;;;;;
113;1678-01-25;1678;Jacob Trist;Anna van den Bogaard;Cornelis Dijvoort;Den Haag;Jacobus Kuyleman ;;;;;;;;;;;;;;;;;;;;;
114;1680-10-13;1680;Gillis de Koker;Hester Liemans;Aris Akersloot;Amsterdam;Jacobus Kuyleman ;;;;;;;;;;;;;;;;;;;;;
115;1663-05-06;1663;Pieter Willemsz Roosekrans;Elisabeth Brouwers;Abraham Jacobsz van der Beeck;Amsterdam;Johan Beets ;;;;;;;;;;;;;;;;;;;;;
116;1684-10-03;1684;Marten Fesma;Margareta van Leeuwaarden;Marcus Willemsz Doornick;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
117;1687-10-28;1687;Benjamin Perne;Hermina van de Wall;Adrianus Bartius;Amsterdam;vallo proxima Vallis;;;;;;;;;;;;;;;;;;;;;
118;1690-01-22;1690;Jan Thomasz d' Vogel;Catharina d' Vogel;Hendrik van I Damme;;P.S.;;;;;;;;;;;;;;;;;;;;;
119;1665-05-13;1665;Wilhelmus Trezenier;Anna van Rozebeeck;Thomas Berry;;Abraham Veesaert ;D.E.;;;;;;;;;;;;;;;;;;;;
122;1704-09-09;1704;Johannes de Lover;Gertrudis Kok;Jacob Brouwer;Delft;Regnerus de Lover ;;;;;;;;;;;;;;;;;;;;;
125;1666-01-03;1666;Geeraerd Claesz Blaaupot;Elisabet Wachtendonk;Herman Aeltsz;Amsterdam;Jan Vriesenburgh ;;;;;;;;;;;;;;;;;;;;;
126;1670-03-09;1670;Gerard Reessen;Maria Nering;Herman Aeltsz;Rotterdam;Jan Copyn ;;;;;;;;;;;;;;;;;;;;;
127;1691-07-25;1691;Petrus Bos;Katharina Beyerman;Barent Bos;Amsterdam;Johannes Molinaeus ;Caspar Brandt ;Adriaan van Cattenburch ;C.Jz de With ;Georgius Sonhoven ;Cornelis van der Zee ;;;;;; ;;;;;;;;;;
128;1696-03-06;1696;Jan de Kaarsgieter;Elisabeth Hosee;Willem de Coup;Amsterdam;François de Kaarsgieter ;Z. Hosee ;;;;;;;;;;;;;;;;;;;;
129;1699-02-17;1699;Johannes Visscher;Kunira van Hoek;Willem de Coup;Amsterdam;Pierre Marin ;;;;;;;;;;;;;;;;;;;;;
130;1719-10-29;1719;Bartholomeus Matthon;Adriana Ras;Jan van Damme;Amsterdam;Adriaan de Jonge ;;;;;;;;;;;;;;;;;;;;;
131;1723-09-19;1723;Jan van Zutphen;Cornelia Waterman;Pieter van den II Berge;Amsterdam;Maria de Wilde ;Jacobus van der Strengh ;Eduard Sennepart ;D.V.V.;Govert Klinkhamer ;Josua Eversdyk ;;;; ;;;;;;;;;;;;
132;1723-11-21;1723;Cornelis van Teylingen;Johanna Jacoba Dyklander;Niklaas Dor;Amsterdam;Abraham Titsingh ;Adriaan de Kramer ;Jacobus van der Strengh ;Niklaas Dor ;J.B.;;;;;;;;;;;;;;;;;
133;1675-05-28;1675;Cornelis de Graet;Catharina Guldewagen;Claes Braau;Amsterdam;J. Vlakveld ;;;;;;;;;;;;;;;;;;;;;
134;1686-03-17;1686;Jan Haring;Sara Vermeersch;Arentsz;Amsterdam;I.V.B.;;;;;;;;;;;;;;;;;;;;;
135;1688-01-27;1688;Gerard Pollius;Kornelia Kleur;Joannes Boucart;Amsterdam;I. Pollius ;I. Houtman ;Adr Boucart ;Joannes de Canjoncle ;;;;;;;;;;;;;;;;;;
136;1688-08-03;1688;Cornelius van Weede;Katarina Longespee;Johannes Dale;Delft;;;;;;;;;;;;;;;;;;;;;;
137;1692-12-09;1692;Huibert van Speek;Elizabet Vollenhove;Boeteman;Amsterdam;J. Carel ;A.V.H.;;;;;;;;;;;;;;;;;;;;
