0;Datum;Jaar;Bruidegom;Bruid;Drukker;Plaats;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22
2797;1726-03-31;1726;Abraham Standaart;Neeltje van Velzen;;Haarlem;Pieter van de Walle ;;;;;;;;;;;;;;;;;;;;;
2798;1726-04-08;1726;Adriaen Koenen;Geertruit van Aswede;;Den Haag;;;;;;;;;;;;;;;;;;;;;;
2799;1726-04-14;1726;Ysbrand Ysbrandsz Vincent;Johanna Paauw;;Amsterdam;Robert Hennebo ;;;;;;;;;;;;;;;;;;;;;
2800;1726-04-17;1726;Pieter de Marre;Elisabeth Versteeg;;Enkhuizen;;;;;;;;;;;;;;;;;;;;;;
2801;1726-05-15;1726;Albertus Roos;Maria Mulerius;;Dordrecht;Jacob Josias Vryburgh van Kapelle ;Lambert van den Broek ;Guiliam Toussaint Domis ;P. Roos ;;;;;;;;;;;;;;;;;;
2802;1726-05-22;1726;Georg Biedendorff;Anna Maria Hartwyk;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
2803;1726-06-11;1726;Henrik Vonk de Neyn;Adriana van Koopstadt;;Rotterdam;;;;;;;;;;;;;;;;;;;;;;
2804;1726-06-23;1726;Jan van Eibergen;Cornelia Croon;;Delft;J. van Eibergen ;Jacobus van der Strengh ;;;;;;;;;;;;;;;;;;;;
2805;1726-08-06;1726;Jacob Bakker;Paulina van der Sluys;;Amsterdam;Enoch Krook ;Jan van der Sluys ;Joannes de Haan ;;;;;;;;;;;;;;;;;;;
2806;1726-08-25;1726;Matthys Beuning;Christina Luyken;;Amsterdam;Antonius de Lanoy ;Claas Bruin ;;;;;;;;;;;;;;;;;;;;
2807;1726-08-25;1726;Gerrit Onstenk;Cornelia Vergeel;;Utrecht;S. Onstenk ;Willem Onstenk ;G. Tinnemans ;Joost Sasselee ;J. van Sassen ;;;;;;;;;;;;;;;;;
2808;1726-08-28;1726;Nicolaas Paradys;Maria Nolthenius;;;Tobias Pama ;J. de Witt ;Balthazar Nolthenius ;Jeronimus Nolthenius ;Jacobus van der Strengh ;;;;;;; ;;;;;;;;;;
2809;1726-09-03;1726;Franciscus van Oudendorp;Sara Torrenius;;Haarlem;David van Royen ;Jacobus Philippus d' Orville ;Petrus d' Orville ;Hendrik Snakenburg ;Adrianus van Royen ;Theodorus Haganaeus ;Theodoor van Snakenburg ;Willem Ostens ;F. Roswinkel ;;;;;;;;;;;;;
2810;1726-09-10;1726;Jan van Vollenhoven;Anna Brunink;;;Claas J.V.M. Bruin ;Joannes D.R. Haverkamp ;;;;;;;;;;;;;;;;;;;;
2811;1726-10-03;1726;Gerardus Jacobus Staats;Johanna Clumper;;Baambrugge;A. Clumper ;;;;;;;;;;;;;;;;;;;;;
2812;1726-10-08;1726;Jacobus Desmarez;Johanna Suzanna Marissal;;Amsterdam;Arnold Nachtegael Klemens ;Michiel van II Leeuwen ;Antonia Bakx ;Joannes Sluyter ;J.I.R.;Adolph Sluyter ;;;;;; ;;;;;;;;;;
2813;1726-11-26;1726;Jan Isaac Robidé;Elisabeth Schouten;;Amsterdam;Alida de Raad ;A.D. Schouten ;Frans Robidé ;C. Schouten ;J.D.M.;Joannes Sluyter ;Adolph Sluyter ;Filips Piek ;J. Spanjert ;;;;;;;;;;;;;
2814;1726-12-25;1726;François van Maanen;Elizabeth van Gent;;Amsterdam;Abraham Elzevier ;Nikolaes Versteeg ;Dirk Smits ;;;;;;;;;;;;;;;;;;;
2815;1726-12-25;1726;François van Maanen;Elizabeth van Gent;;Harlingen;Arnold Nachtegael Klemens ;;;;;;;;;;;;;;;;;;;;;
2816;1727-01-01;1727;Frederik Lodewijk Abresch;Rebecca Trouillart;;Rotterdam;Simon Petrus Trouillart ;Margareta Johanna Trouillart ;;;;;;;;;;;;;;;;;;;;
2817;1727-01-28;1727;Gerard van Brandwyk;Emerentia Snels;;;Arnoldus Henricus Westerhovius ;;;;;;;;;;;;;;;;;;;;;
2818;1727-01-28;1727;Gerard van Brandwyk;Emerentia Snels;;Delft;Julius Caesar Boëthius ;K. Casius ;P. Pluym ;J. Staats ;;;;;;;;;;;;;;;;;;
2819;1727-02-26;1727;Pieter van der Mersch;Maria Sydervelt;;Amsterdam;Kornelis Boon van Engelant ;;;;;;;;;;;;;;;;;;;;;
2820;1727-03-11;1727;Johannes Lakeman;Sara de Clerck;;Delft;Pieter Caauw ;Jacob Josias Vryburgh van de Kapelle ;Rutger Ouwens ;Gerardus Kempher ;Maarten Kind ;;;;;;; ;;;;;;;;;;
2821;1727-03-28;1727;Joannes Ploos van Amstel;Anna van der Linde;;Amsterdam;J. de Geus ;Hendrik Smets ;;;;;;;;;;;;;;;;;;;;
2822;1727-03-30;1727;Hermanus Jansz van Noorlé;Anna ten Have;;Amsterdam;C. Jansz van Noorlé ;N. ten Have ;Christiaan van Noorlé ;Jan van Noorlé ;;;;;;;;;;;;;;;;;;
2823;1727-05-08;1727;Josua Ottens;Johanna Jacoba de Lint;;Amsterdam;Casparus Henricus van Heimenberg ;Joost Sasselee ;Gijsbert Tysens ;Abraham de Haen (1707-1748) ;Jan Cloppenburg ;Hendrik Post ;J.W. Hazebroek ;Leonard Goris ;;;;;;;;;;;;;;
2824;1727-06-03;1727;Caspar Commelin;Cornelia Jacoba Backer;;Leiden;Petrus Burman ;;;;;;;;;;;;;;;;;;;;;
2825;1727-06-11;1727;Joannes Alexander Röell;Adriana Cornelia van der Burgh;;Amsterdam;Dionysius Andreas Röell ;;;;;;;;;;;;;;;;;;;;;
2826;1727-06-17;1727;Petrus d' Orville;Maria Jacoba de Bruyn;;Amsterdam;Jacobus Philippus d'Orville ;Franciscus van Oudendorp ;Hendrik Snakenburg ;;;;;;;;;;;;;;;;;;;
2827;1727-08-13;1727;Willem van Mierop;Alida Swartendyk;;Amsterdam;Paulus Hendriksz Verryn ;Willem van der Pot ;Cornelis van der Pot ;Dirk Smits ;;;;;;;; ;;;;;;;;;;
2828;1727-09-08;1727;Wigbold Muilman;Maria Johanna Croyzé;;Maassluis;Philip Willem Croyzé ;Joannes Wolbers ;Jacob Spex ;;;;;;;;;;;;;;;;;;;
2829;1727-10-01;1727;Arent van Veen;Klara Anna Katers;;;Jacob van J.H. Veen ;Adriaan Jacobsz van Ommering ;;J. van Loenen ; ;;;;;;;;;;;;;;;;;
2830;1727-12-07;1727;Willem Rigthoud;Emmerencia van Polanen;;Maarssen;;;;;;;;;;;;;;;;;;;;;;
2831;1727-12-21;1727;Hendrik Timmerman;Johanna Amsterdam;;Den Haag;Hermanus van den Burg ;Pieter Langendyk ;Frans Robidé ;Herkules Bouman ;;;;;;;;;;;;;;;;;;
2832;1727-12-23;1727;Christoffel Capelle;Johanna Commelin;;Amsterdam;Nicolaas Capelle ;;;;;;;;;;;;;;;;;;;;;
2833;1728-01-20;1728;Arnoldus Elias;Maria Schaak;;Amsterdam;Petrus Schaak ;;;;;;;;;;;;;;;;;;;;;
2834;1728-01-27;1728;Everardus Schuttrop;Johanna Maria de Roode;;Amsterdam;Adriaan Hoppestein ;;;;;;;;;;;;;;;;;;;;;
2835;1728-01-27;1728;Everardus Schuttrop;Johanna Maria de Roode;;;;;;;;;;;;;;;;;;;;;;;;
2836;1728-02-01;1728;Abraham Verlee;Maria van Dyk;;;;;;;;;;;;;;;;;;;;;;;;
2837;1728-02-11;1728;Mattheus Alewyn;Maria Agneta Scherenberg;;Amsterdam;D.D.I. Nachtegael T.N.;Arnold Klemens ;;;;;;;;;;;;;;;;;;;;
2838;1728-02-11;1728;Mattheus Alewyn;Maria Agneta Scherenberg;;Amsterdam;Hermanus van den Burg ;;;;;;;;;;;;;;;;;;;;;
2839;1728-02-24;1728;Gerard Melder;Margareta van Schalkwyk a Velden;;Amsterdam;Willem van Swaanenburg ;;Samuel van Schalkwijk a Velden ;;;;;;;;;;;;;;;;;;;
2840;1728-03-16;1728;Cornelis van der Zwet;Johanna van Dieningen;;Amsterdam;Stephanus Varga ;Josephus Harkanyi ;Johannes Schroder ;Jan van der Voort ;E.V.;Samuel Fay ;;;;;;;;;;;;;;;;
2841;1728-04-04;1728;Nicolaus d' Assonville;Anna Jacomina de Vlamingh;;Amsterdam;Johan Aegidiusz van der Marck ;Gerardus Schroder ;;Petrus Martens ;;;;;;;;;;;;;;;;;;
2842;1728-04-18;1728;Jacob Overzee;Catharina à Meynsma;;;Jacob Lakeman ;Harmanus Meyer ;Elias van Ysendyk ;;;;;;;;;;;;;;;;;;;
2843;1728-05-03;1728;Frans van de Velde;Anna Reyers;;;;;;;;;;;;;;;;;;;;;;;;
2844;1728-05-10;1728;Abraham Lodewyk Blankenburg;Johanna Both;;Dordrecht;Laurentius A.H. Blankenburg ;;;;;;;;;;;;;;;;;;;;;
2845;1728-05-18;1728;Petrus Hollebeek;Klara Helena de La Fontaine;;Leiden;Gerardus Outhof ;;;;;;;;;;;;;;;;;;;;;
2846;1728-05-18;1728;Petrus Hollebeek;Klara Helena de La Fontaine;;;Philip Zweerts ;;;;;;;;;;;;;;;;;;;;;
2847;1728-05-23;1728;Petrus Smidt;Sara de Koker;;Amsterdam;G. Smidt ;W. de Koker ;Adriaan Westerhuis ;Pieter van de Walle ;Hendrik Post ;Bernardus de Bosch ;Pieter Post ;;;;;;;;;;;;;;;
2848;1728-05-25;1728;Pieter van der Stoot;Johanna Machtilda de Jager;;Amsterdam;Cornelis Duyvensz ;Nicolaas Weenix ;;;;;;;;;;;;;;;;;;;;
2849;1728-06-06;1728;Isaak Sterck;Cecilia Tilburg;;Delft;Laurens Steversloot ;;;;;;;;;;;;;;;;;;;;;
2850;1728-06-06;1728;Isaak Sterck;Cecilia Tilburg;;Amsterdam;Cornelis van der Steen ;;;;;;;;;;;;;;;;;;;;;
2851;1728-06-30;1728;Johan Hendrick Haring;Jakoba Maria van Loon;;Leeuwarden;Arnold Nachtegael Klemens ;;;;;;;;;;;;;;;;;;;;;
2852;1728-06-30;1728;Johan Hendrick Haring;Jakoba Maria van Loon;;Amsterdam;Joannes Badon ;;;;;;;;;;;;;;;;;;;;;
2853;1728-08-03;1728;Gerard Aarnoud Hasselaer;Elisabeth Clignet;;Amsterdam;Hermanus van den Burg ;;;;;;;;;;;;;;;;;;;;;
2854;1728-08-03;1728;Gerard Aarnoud Hasselaer;Elisabeth Clignet;;;Jacobus van der Strengh ;Philip Zweerts ;;;;;;;;;;;;;;;;;;;;
2855;1728-08-03;1728;Cornelis Schryver;Maria Le Pla;;Utrecht;P. Schryver ;;;;;;;;;;;;;;;;;;;;;
2856;1728-08-10;1728;Johan Bernhard van der Mark;Agata Petronella de Bucquoy;;Utrecht;Laurens Steversloot ;;;;;;;;;;;;;;;;;;;;;
2857;1728-08-18;1728;Jan Bisdom;Ignatia Johanna Meewels;;Amsterdam;Dirk Smits ;Willem van der Pot ;Cornelis van der Pot ;;;;;;;;;;;;;;;;;;;
2858;1728-09-12;1728;Anthony Anbroek;Deliana de Bruin;;Dordrecht;Malachias de La Vigne ;;;;;;;;;;;;;;;;;;;;;
2859;1728-10-21;1728;Jan Six (1668-1750);Anna Elisabeth van den Bempden;;Dordrecht;Johannes Rotterdam ;;;;;;;;;;;;;;;;;;;;;
2860;1728-10-21;1728;Jan Six (1668-1750);Anna Elisabeth van den Bempden;;Haarlem;;;;;;;;;;;;;;;;;;;;;;
2861;1728-11-09;1728;Jacobus Willemsen;Anna Catharina Matthaeus;;Rotterdam;Pieter de La Ruë ;W. de Cliever ;;;;;;;;;;;;;;;;;;;;
2862;1728-11-14;1728;Dionys van Vlierden;Alida Meggelen;;Rotterdam;;;;;;;;;;;;;;;;;;;;;;
2863;1728-11-23;1728;George (Jr) Clifford;Anna Sara Treschouw;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
2864;1728-11-28;1728;Leonard Goris;Cornelia Maria de Wilde;;Dordrecht;Paulus Jolles ;Jan Snoek ;Philip Zweerts ;Jacobus van der Strengh ;;;;;;;;;;;;;;;;;;
2865;1729-01-25;1729;Joannes Fredericus Gronovius;Joanna Suzanna Alensoon;;Amsterdam;Hendrik Snakenburg ;;;;;;;;;;;;;;;;;;;;;
2866;1729-01-25;1729;Abraham Du Pon;Katharina van der Snippe;;;Jan Huibert Jungius ;;;;;;;;;;;;;;;;;;;;;
2867;1729-02-06;1729;Gysbertus de Pas;Cornelia Marchand;;Deventer;G. Marchand ;Jan (Jr) Marchand ;;;;;;;;;;;;;;;;;;;;
2868;1729-02-08;1729;Dirk Trip;Agatha Levina Geelvinck;;Delft;;;;;;;;;;;;;;;;;;;;;;
2869;1729-02-10;1729;Adriaan Vygh;Geertruid Valk;;Haarlem;C. Rygerbos ;Govert Klinkhamer ;Petrus Smidt ;;;;;;;;;;;;;;;;;;;
2870;1729-02-20;1729;Fredrik Richters;Maria Reering;;Amsterdam;Pieter van Flury ;Fredrik Jansz Richters ;;;;;;;;;;;;;;;;;;;;
2871;1729-02-22;1729;Herman Vingerhoedt (1697-1762);Maria 's-Graefweg;;Amsterdam;Otho Hendricks ;;;;;;;;;;;;;;;;;;;;;
2872;1729-02-24;1729;Gerard Joan Crull;Maria Margareta Schröder;;Rotterdam;C. J.S. Schröder ;J. Schröder ;I.M. Schröder ;H. Schröder ;Anthony de Harde ;Lodewyk Nachtegael Bruyning ;Arnold Klemens ;; ; ;;;;;;;;;;;;
2873;1729-02-27;1729;Hendrik Issendorp;Alida Horst;;Amsterdam;Jacobus Issendorp ;Isaak Issendorp ;Johannes Rotterdam ;;;;;;;;;;;;;;;;;;;
2874;1729-03-01;1729;Christiaan Steenberg;Johanna Westerhout;;Deventer;Isaac S.W.B. Boonen ;Claas Bruin ;Arnold Boonen ;;;;;;;;;;;;;;;;;;;
2875;1729-03-09;1729;Johan Swryters;Katharina Margareta van Kinschot;;;Jan Huibert Jungius ;;;;;;;;;;;;;;;;;;;;;
2876;1729-03-22;1729;Louis Trip de Maréz;Hillegonda van der Does;;Broek in Waterland;Gijsbert van der Goot ;Philip Zweerts ;Jacobus van der Strengh ;;;;;;;;;;;;;;;;;;;
2877;1729-04-05;1729;Rudolf Henrik van Lankeren;Maria Pott;;Middelburg;Isaac Wz Wolffganck ;Jan Terwen ;Willem Kroon ;;;;;;;;;;;;;;;;;;;
2878;1729-04-05;1729;Rudolf Henrik van Lankeren;Maria Pott;;Middelburg;Martinus van Lankeren ;;;;;;;;;;;;;;;;;;;;;
2879;1729-04-05;1729;Jan van Marselis;Johanna Clifford;;Middelburg;;;;;;;;;;;;;;;;;;;;;;
2880;1729-05-03;1729;Johannes Wilhelmus van Diepen;Sara Alettha van Rietveld;;Middelburg;;;;;;;;;;;;;;;;;;;;;;
2881;1729-05-08;1729;Abraham Cleyn;Cornelia Bosch;;;Adriaan van der Vliet ;Kornelis van Koeverden ;Jakob van Wyk ;;;;;;;;;;;;;;;;;;;
2882;1729-06-26;1729;François de Vicq;Maria Jacoba van Bredehoff;;Middelburg;Gerardus Kempher ;Eduard Sennepart ;Roelof Westerop ;Ludovicus Ens ;;;;;;;;;;;;;;;;;;
2883;1729-07-31;1729;Herman Berckhout;Debora de Vries;;Middelburg;Curtius Nordingh Doitsma ;Govert Klinkhamer ;Roelof Westerop ;P. Klinkhamer ;Michael Klinkhamer ;Jan Bent ;Pieter Swartendyk ;J.R. van Hoolwerff ; N.V.K.; ;;;;;;;;;;;;
2884;1729-08-30;1729;Clemens van der Horst;Catharina Elizabeth de Roo;;Zierikzee;;;;;;;;;;;;;;;;;;;;;;
2885;1729-09-20;1729;Nicolaas Geelvinck (1706-1764);Johanna Jacoba Graafland;;Amsterdam;Benedictus Marius ;;;;;;;;;;;;;;;;;;;;;
2886;1729-09-25;1729;Willem Roos;Catharina Koning;;;Hendrik Dauw ;;;;;;;;;;;;;;;;;;;;;
2887;1729-10-18;1729;Willem Haring;Johanna Cornelia Kingma;;Amsterdam;Carel Johan Houttuyn ;Hermanus van den Burg ;P. Haring ;Jan Terwen ;;;;;;;;;;;;;;;;;;
2888;1729-11-24;1729;Louis Fabricius Du Bourg;Eva de Kaarsgieter;;Amsterdam;Zeeger de Kaarsgieter ;Hendrik van der Sande ;Joost Sasselee ;Isaac Boonen ;H.K.A.;Hendrik Post ;Philip Zweerts ;;;;; ;;;;;;;;;;
2889;1729-11-28;1729;Petrus Teger;Clara de Bruyn;;Amsterdam;Pieter de Bruyn ;A.R. Reen ;Magdalena Reen geb. Pollius ;;;;;;;;;;;;;;;;;;;
2890;1729-12-25;1729;Gerardus van Wiert;Kornelia Joris;;Delft;Willem Ostens ;J. Beverwyk ;Eduard van Nikkelen ;Govert Klinkhamer ;Izaak Duim ;Philip Zweerts ;;; ;;;;;;;;;;;;;
2891;1730-01-22;1730;Adriaen Kalden;Kristina Delia Schwencke;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
2892;1730-01-29;1730;Adrianus van der Singel;Elisabeth van der Mijn;;Amsterdam;Isaac van der Mijn ;Sara van der Mijn geb. van Renard ;Jeremias van der Meer ;;;;;;;;;;;;;;;;;;;
2893;1730-02-00;1730;Johannes Winkelmans;Geertruida van Wesel;;Amsterdam;K.T. M.T. Hoogeveen;;;;;;;;;;;;;;;;;;;;;
2894;1730-05-03;1730;Jan Trout;Anna Woelders;;Leiden;Pieter Gouverno ;;;;;;;;;;;;;;;;;;;;;
2895;1730-06-05;1730;Johannes Sybing van Hermkhuysen;Maria de Wit;;Utrecht;;;;;;;;;;;;;;;;;;;;;;
2896;1730-06-06;1730;Jasper Koning van der Biet;Elisabeth Swiesen;;Leiden;Herkules I.B. Bouman ;;;;;;;;;;;;;;;;;;;;;
2897;1730-07-18;1730;Steven van Winssenburg;Anna Maria de Mulder;;Delft;Hendrik Borsboom ;;;;;;;;;;;;;;;;;;;;;
2898;1730-07-25;1730;Everhard Menssingh;Clara Theroude;;Leiden;Petrus Thierens ;Paulus Theroude ;Stephanus Theroude ;;;;;;;;;;;;;;;;;;;
2899;1730-08-08;1730;Willem van Vollenhoven;Catharina Wilhelmina Brunink;;Leiden;Arnold Hoogvliet ;Claas Bruin ;Joannes Haverkamp ;Gijsbert Tysens ;Jan Wandelaar ;J.V.M.;;;;;;;;;;;;;;;;
2900;1730-08-08;1730;Iman Mogge;Maria Agatha van Collen;;Rotterdam;Hendrik Schim ;;;;;;;;;;;;;;;;;;;;;
2901;1730-08-18;1730;Adriaan Westerhuis;Louisa Schildering;;Rotterdam;Bernardus de Bosch ;Petrus Smidt ;;;;;;;;;;;;;;;;;;;;
2902;1730-08-20;1730;Johannes van der Wyde;Elisabeth van Thiel;;;Pieter van Vliet ;;;;;;;;;;;;;;;;;;;;;
2903;1730-08-27;1730;Nikolaas Kien;Theodora Petronella van Romond;;Leiden;Laurens Steversloot ;;;;;;;;;;;;;;;;;;;;;
2904;1730-08-29;1730;Godfried Sellius;Magdalena Debora Verhoog;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
2905;1730-09-17;1730;Pieter Keetman;Barbara de Leeuw;;Leiden;;;;;;;;;;;;;;;;;;;;;;
2906;1730-09-19;1730;Jan Sandyk;Maria Catharina Baalde;;;Claas Bruin ;;;;;;;;;;;;;;;;;;;;;
2907;1730-09-25;1730;Johan van Noordwyk;Cornelia ter Borch;;Middelburg;A. van Noordwyk ;Abraham Willemsz ter Borch ;H. Scheltus ;;;;;;;;;;;;;;;;;;;
2908;1730-09-26;1730;Tiberius Reitsma;Magdalena Henrietta Baalde;;Amsterdam;Magdalena Fruens Reen ;Johannes Meyer ;;;;;;;;;;;;;;;;;;;;
2909;1730-10-08;1730;Jakob de Vries;Johanna Elizabet van Bredehoff;;Langweer;J.R. van Hoolwerff ;Michael Klinkhamer ;Pieter Swartendyk ;P. Klinkhamer ;Curtius Nordingh Doitsma ;;;;;; ; ;;;;;;;;;;
2910;1730-12-05;1730;Jan van Dorssen;Katarina van Beeck;;Groningen;;Adriaan Matthiasz Okhuysen ;;;;;;;;;;;;;;;;;;;;
2911;1730-12-24;1730;Nicolaas de Roo;Anna Schoondorp;;Eelde;J. Weyland ;Hendrik de Roo ;Hendrik Ravekes ;;;;;;;;;;;;;;;;;;;
2912;1731-01-03;1731;Jacobus Oosterdyk;Maria Oxfort;;Groningen;Christianus Brinck ;Maria de Wilde ;;;;;;;;;;;;;;;;;;;;
2913;1731-02-20;1731;Roelof Eelbo;Johanna Jakoba Du Bois;;Beilen;Joannes van Braam ;;;;;;;;;;;;;;;;;;;;;
2914;1731-02-21;1731;Johannes van Diepenheim;Anna Maria de Swaan;;Amsterdam;Nicolaas de Swaan ;W. van Diepenheim ;Joannes van den Broek ;Abraham de Haen (1707-1748);;;;;;;; ;;;;;;;;;;
2915;1731-03-13;1731;Nicolaas Cornelis Crollius;Maria Johannetta Stratenus;;Groningen;Isaac Wz Wolffganck ;;;;;;;;;;;;;;;;;;;;;
2916;1731-04-10;1731;Isaak Ostens;Maria Scheltes;;;Willem Ostens ;;;;;;;;;;;;;;;;;;;;;
2917;1731-04-24;1731;Carolus Willemsz Crucius;Anna Maria Laurentius;;;Joan Doornik ;Adrianus van Bleiswyk ;Petrus Burman ;;;;;;;;;;;;;;;;;;;
2918;1731-04-24;1731;Carolus Willemsz Crucius;Anna Maria Laurentius;;Middelburg;Cornelia Jacoba Katharina van der Duyn ;;;;;;;;;;;;;;;;;;;;;
2919;1731-04-30;1731;Luyther Ryk;Maria Margareta Bellanger;;Delft;Lucas Pater ;;;;;;;;;;;;;;;;;;;;;
2920;1731-05-29;1731;Johannes Burman;Adriana van Buren;;Amsterdam;Adrianus van Royen ;Cornelius Hugo Vonk ;Joannes van Wena ;Franciscus Burman (1708-1793);Abraham Burman ;Petrus (1713-1778) Burman ;;;;;;;;;;;;;;;;
2921;1731-06-21;1731;Philip Anton Erbervelt;Susanna Maria Alphusius;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
2922;1731-08-13;1731;Petrus Dathenus;Josina La Croix;;Amsterdam;Helena Buys ;Johan Hofman ;Maximiliaan Vermeere ;Johannis Hendriksz de Raad ;Jakobus Andriesse de Waal ;Godefridus Callenfels ;Petrus Wilhelmus Callenfels ;Gerhard Step ;;;;;;;;;;;;;;
2923;1731-09-18;1731;Abraham Masurel;Anna Catharina Koop van Groen;;Amsterdam;Claas Bruin ;Gijsbert Tysens ;;;;;;;;;;;;;;;;;;;;
2924;1731-09-25;1731;Hermanus Rietveld;Regista Muilman;;Amsterdam;Henrik Muilman ;;;;;;;;;;;;;;;;;;;;;
2925;1731-10-24;1731;Jan van Marken;Elisabeth Koenerding;;Amsterdam;Jan Mol ;Bernardus de Bosch ;;;;;;;;;;;;;;;;;;;;
2926;1731-12-18;1731;Johannes Jonas;Maria Marissal;;Beverwijk;Adrianus van der Win ;J. Boonen ;A. Jonas ;A. van A. ;Adolph van Asperen ;Michiel van II Leeuwen ;Adolph Sluyter ;;;;;;;;;;;;;;;
2927;1731-12-18;1731;Walterus van Heusden;Maria van Waert;;Utrecht;Hendrik Schim ;;;;;;;;;;;;;;;;;;;;;
2928;1731-12-18;1731;Thomas Vieroot;Cornelia van Dooreslaer;;Amsterdam;Hendrik Vieroot ;Johannes van Dooreslaer ;Adolph Sluyter ;Lodewyk Bruyning ;Jan Cornelisz Ruyg ;;;;;;;;;;;;;;;;;
2929;1732-00-00;1732;Johan Oostendorp;Suzanna van Koopstadt;;Utrecht;Willem Kroon ;;;;;;;;;;;;;;;;;;;;;
2930;1732-02-26;1732;Jacobus Philippus d' Orville;Elizabeth Maria van Ryn;;Amsterdam;Franciscus van Oudendorp ;Hendrik Snakenburg ;Carolus van Heusden ;Petrus Burman ;Petrus d' Orville ;Hubert Gregorius van Vryhoff ;Antoni Warin ;;;;;;;;;;;;;;;
2931;1732-02-26;1732;Jacobus Philippus d' Orville;Elizabeth Maria van Ryn;;Amsterdam;Hubert Gregorius van Vryhoff ;;;;;;;;;;;;;;;;;;;;;
2932;1732-03-02;1732;Dionys Vermasen;Adriana Vermande;;Amsterdam;Pieter Kuypers ;Nikolaes Versteeg ;Frans de Haes ;;;;;;;;;;;;;;;;;;;
2933;1732-03-12;1732;Joannes Maiden;Josina Floor;;Leiden;Cornelis V.C. Floor ;Gerard de Haan ;;;;;;;;;;;;;;;;;;;;
2934;1732-03-19;1732;Pieter Heinius;Anna Elizabeth van Geel;;;J.R. van Geel ;C. van Geel ;Samuel van Schalkwyk a Velden ;;;;;;;;;;;;;;;;;;;
2935;1732-04-09;1732;Jan Visscher;Paulina Koenerding;;;Gerard Visscher ;Bernardus de Bosch ;Jan Mol ;Lucas Pater ;;;;;;;;;;;;;;;;;;
2936;1732-04-27;1732;Johannes Zallé;Anna Catharina van Naerssen;;;Isaac Wz Wolffganck ;;;;;;;;;;;;;;;;;;;;;
2937;1732-05-06;1732;Isaac Des Obry;Johanna van Royen;;;Theodoor van Snakenburg ;;;;;;;;;;;;;;;;;;;;;
2938;1732-05-07;1732;Cornelis Floor;Sara Broegh;;Harderwijk;S. van Bavel ;;;;;;;;;;;;;;;;;;;;;
2939;1732-06-17;1732;Johannes Cornelis Chanfleury;Sibilla Elisabeth Pollio;;Amsterdam;Julius Caesar Boëthius ;;;;;;;;;;;;;;;;;;;;;
2940;1732-06-23;1732;Alardus Adrianus Buurt;Maria Mulet;;Leiden;Johannes Kalkoen ;Rutger Schutte ;;;;;;;;;;;;;;;;;;;;
2941;1732-06-24;1732;Christiaan Martin;Susanna de Jong;;Amsterdam;Frans Martin ;M. de Jong ;;;;;;;;;;;;;;;;;;;;
2942;1732-06-29;1732;Cornelis Voegen;Diliana Le Grand;;Amsterdam;Isaac Wz Wolffganck ;;;;;;;;;;;;;;;;;;;;;
2943;1732-06-29;1732;Cornelis Voegen;Diliana Le Grand;;Oosterbeek;;;;;;;;;;;;;;;;;;;;;;
2944;1732-07-08;1732;Daniel Lafargue;Maria Dammers;;Leiden;;;;;;;;;;;;;;;;;;;;;;
2945;1732-08-05;1732;Abraham Burman;Joanna Elizabeth van Buren;;Amsterdam;Petrus Burman ;;;;;;;;;;;;;;;;;;;;;
2946;1732-08-24;1732;Johannes de Ruit;Anna van Lochem;;Den Haag;Cornelis de Ruit ;;;;;;;;;;;;;;;;;;;;;
2947;1732-09-23;1732;Pieter Twent;Elisabeth Adriana van der Lely;;Den Haag;P.V.H. D.v.B.;Diderik van Bleiswyk ;;;;;;;;;;;;;;;;;;;;
2948;1732-09-28;1732;Frans de Haes (1708-1761);Adriana van der Tooren;;Amsterdam;Arnold Hoogvliet ;Dirk Smits ;Willem van der Pot ;Nikolaes Versteeg ;Adriaan van der Vliet ;;;;;;;;;;;;;;;;;
2949;1732-11-26;1732;Floris Bontekoning;Catharina Makreel;;Amsterdam;Jacob Makreel ;;;;;;;;;;;;;;;;;;;;;
2950;1732-11-26;1732;Adriaen Schadee;Zoetje van Kleef;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
2951;1732-12-30;1732;Jan van der Hoop;Johanna Sleght;;Amsterdam;Arnold Hoogvliet ;Japik Andriessen ;Dirk Smits ;Willem van der Pot ;Nikolaes Versteeg ;Frans de Haes (1708-1761) ;Adriaan van der Vliet ;;;;;;;;;;;;;;;
2952;1733-01-18;1733;Jan Roscam;Jacoba Elizabeth van Meel;;;Hubert Gregorius van Vryhoff ;;;;;;;;;;;;;;;;;;;;;
2953;1733-02-08;1733;Hendrik Koot;Hester van Damme;;Amsterdam;Johannes Petraeus ;Daniel van Damme ;Abram van Batenburg ;;;;;;;;;;;;;;;;;;;
2954;1733-02-23;1733;Everhard Storm;Cornelia Maria de Wys;;;Jan Gerard de Wys ;;;;;;;;;;;;;;;;;;;;;
