id;label;function;year;place
2119;Abraham van Pembroek;Auteur;;
2120;Daniel van Pembroek;Auteur;;
2121;Gerarda van Pembroek;Auteur;;
2122;Yda van Pembroek;Auteur;;
2123;Dirck Pieters & Grietje Pietersd;Bruidspaar;1628;
2124;Hendrik van der Plaat & Dieuwertje de Jeugt;Bruidspaar;1715;
2125;Jacobus Georgius van der Poel & Susanna Sighers;Bruidspaar;1706;
2126;Cornelis Barlinck-hof;Drukker;;Amsterdam
2127;Johannes Johannis;Auteur;;
2128;Pierre van der Poel;Auteur;;
2129;Jan Pietersz van de Poll (1726-1781) & Sara de La Court;Bruidspaar;1750;
2130;Vryhart;Auteur;;
2131;Pieter van de Poll & Catharina Susanna van den Bempden;Bruidspaar;1750;
2132;Johan Diderik Pompe van Meerdervoort & Johanna Alida Pompe van Meerdervoort;Bruidspaar;1723;
2133;Maarten Post & Anna de Vyver;Bruidspaar;1695;
2134;Jacob Posthumus & Willemina Hellingh;Bruidspaar;1750;
2135;Pieter Posthumus;Auteur;;
2136;Laurens Hellingh;Auteur;;
2137;Maria Posthumus;Auteur;;
2138;Johannes Menkema;Auteur;;
2139;C.;Auteur;;
2140;Jan Punt & Johanna Maria Chicot;Bruidspaar;1748;
2141;Abraham Maas;Auteur;;
2142;Jan Putter & Grietje Kuynder;Bruidspaar;1724;
2143;Fredrik Dirk de Ram & Willemina van den Bergh;Bruidspaar;1751;
2144;J.O. van den Bergh;Auteur;;
2145;L.J. de Ram;Auteur;;
2146;E. van den Bergh;Auteur;;
2147;Jan Wils;Auteur;;
2148;J.L.;Auteur;;
2149;Petrus Ramaert & Sara Huybrechts;Bruidspaar;1640;
2150;Fredericus Rudolphus van Rechteren & Philippina Leonora von Castell-Rüdenhausen;Bruidspaar;1706;
2151;Willem Redogh & Maria Parsoy;Bruidspaar;1725;
2152;Hendrik Redogh;Auteur;;
2153;C. van Dyk;Auteur;;
2154;Anthony Repelaer & Hester Coymans;Bruidspaar;1724;
2155;Johannes van Reynensteyn & Maria van Gelder;Bruidspaar;1719;
2156;Abraham van der Sande;Auteur;;
2157;Jacob Konijnenbergh;Auteur, Drukker;;
2158;Jean Rigail & Marthe Ferrieres;Bruidspaar;1751;
2159;Jean Rigail (Jr);Auteur;;
2160;Isaäc Corneille Rigail;Auteur;;
2161;Jeanne Rigail;Auteur;;
2162;Isaäc Pierre Lalauze;Auteur;;
2163;Jacob van Rincom & Margareta van Heyningen;Bruidspaar;1705;
2164;Gerard van Heyningen;Auteur;;
2165;Cornelis de Roeper & Margareta Beverdyk;Bruidspaar;1756;
2166;Sibertus van Romondt & Margareta Christina van Muyden;Bruidspaar;1719;
2167;Melchior Leonard Charlois;Drukker;;Amsterdam
2168;Henrik van der Marck;Auteur;;
2169;Dionys Oortman;Auteur;;
2170;Dominicus Roosmale & Emilia de Leeuw;Bruidspaar;1710;
2171;Arnoldus van Rootzelaar & Elizabeth Ordykus;Bruidspaar;1753;
2172;M. D.G. Ordykus;Auteur;;
2173;Nicolaas Rotterdam & Susanne Slagmullers;Bruidspaar;1635;
2174;Bernardus de Roy & Helena Urzula Brack;Bruidspaar;1757;
2175;Anna Maria de Roy;Auteur;;
2176;Willem Anthonie de Roy;Auteur;;
2177;Arent Albert de Ruever & Suzanna Maria van de Wall;Bruidspaar;1721;
2178;David Izaksz Rutgers & Debora Bruin;Bruidspaar;1697;
2179;Nicolaas Ryke & Johanna Christina Kramer;Bruidspaar;1751;
2180;Jan Baptista Ryke;Auteur;;
2181;Jacob Wijbrantsz Schaaf & Sara Leenderts van der Styl;Bruidspaar;1675;
2182;Bartholomeus van Gent;Auteur;;
2183;Gerard Schaak & Maria Zegers;Bruidspaar;1727;
2184;Christianus Brinck;Auteur;;
2185;Simon Ryser;Auteur;;
2186;Hendrik van Schalkwyk & Christina Katharina Del Borgo;Bruidspaar;1754;
2187;Koenraed van Schellebeeck & Anna Magdalena Lund;Bruidspaar;1711;
2188;Gilbert de Flines;Auteur;;
2189;Rutgert Schellinger & Maria van Laar;Bruidspaar;1703;
2190;Cornelis Scheltema & Hiltje Altena;Bruidspaar;1750;
2191;Rinnardus Heimans;Auteur;;
2192;J. Haitsma;Auteur;;
2193;Joan Scherenberg & Helena Cornelia Smith;Bruidspaar;1754;
2194;Anna Catharina Smith;Auteur;;
2195;Johanna Jacoba Scherenberg Smith;Auteur;;
2196;Jan Willemsz Veening;Auteur;;
2197;Jacob Cornelis Schoots van Capelle & Elizabeth Sophia Hecker;Bruidspaar;1748;
2198;L. Helper;Auteur;;
2199;Jacob Vos;Auteur;;
2200;Carel Roos;Auteur;;
2201;H. Wibbing;Auteur;;
2202;Abraham Schot & Johanna Vlieg;Bruidspaar;1750;
2203;Willem Boot;Auteur, Drukker;;Wesel
2204;Gualtherus Schouten & Joanna Catharina Coppens;Bruidspaar;1754;
2205;Diderik Schutte & Anna van Buren;Bruidspaar;1757;
2206;Jacoba Schutte;Auteur;;
2207;Elisabeth Schutte;Auteur;;
2208;Herman Ottoz. Schutte;Auteur;;
2209;Diderik Ottoz. Schutte;Auteur;;
2210;B.T.;Auteur;;
2211;H.v.B.;Auteur;;
2212;Pieter van Schuylenburch & Maria Machteld van Sypesteyn;Bruidspaar;1743;
2213;Jan S.H.R. Bosch;Auteur;;
2214;Jan Hondius;Auteur;;
2215;Abraham van Beaumont;Auteur;;
2216;Gerardus Seevenhuisen & Aletta Maria van Rouveroy;Bruidspaar;1750;
2217;L.J. van Rouveroy;Auteur;;
2218;Willem S'Hee & Lucretia Elias;Bruidspaar;1750;
2219;Hermanus Elias;Auteur;;
2220;Coen Elias;Auteur;;
2221;Jan Simons & Johanna Sara Noël;Bruidspaar;1750;
2222;Ms van Bemmel;Drukker;;Amsterdam
2223;Elisabet Maria ten Hove;Auteur;;
2224;Aernoud Noël;Auteur;;
2225;François Noël;Auteur;;
2226;J.S.M.;Auteur;;
2227;Arend Rog-aar;Auteur;;
2228;Abraham ten Have;Auteur;;
2229;Jan Willem van Hoogstraten;Auteur;;
2230;J. Hantelman;Auteur;;
2231;J.J.F.;Auteur;;
2232;Jan Arendsz Rog-aar;Auteur;;
2233;D. Heerde;Auteur;;
2234;Bartholomaeus Sixti & Anna van Beest;Bruidspaar;1698;
2235;Abraham Boekholt;Drukker;;Amsterdam
2236;Isaacq van Beest;Auteur;;
2237;Govert van Slingeland & Ernestina Geertruida de Beveren;Bruidspaar;1719;
2238;Tielman van Bracht;Auteur;;
2239;Leonardus de Smidt & Sara Jacoba Immens;Bruidspaar;1721;
2240;Adam de Smidt;Auteur;;
2241;Otto van Munster;Auteur;;
2242;Coenraad van Son & Anna Hollebeek;Bruidspaar;1718;
2243;Petrus Hollebeek;Auteur;;
2244;Simon van Son & Anna van der Pypen;Bruidspaar;1725;
2245;Henricus Stephanus van Son;Auteur;;
2246;Petrus Hendericus Sophi & Alida Scholten;Bruidspaar;1731;
2247;Gerrit van den Broek;Drukker;;Haarlem
2248;Jacob Lambertsz Spaeckenburgh & Geertruyd Jacobs Reael;Bruidspaar;1628;
2249;Adriaen Spiering & Geertruy van Wamelen;Bruidspaar;1629;
2250;Daniel de Breen;Auteur;;
2251;Mathys Staats & Johanna Elisabeth Schutstal;Bruidspaar;1724;
2252;Jan Schutstal;Auteur;;
2253;Willem A.V. Barents;Auteur;;
2254;Jacob Schuer;Auteur;;
2255;Joannes Steenweg & Maria van Carnap;Bruidspaar;1708;
2256;Jan Jansz de Cerff;Auteur;;
2257;Jacob Gerritze Stip & Cristina Tymese Kleyn;Bruidspaar;1723;
2258;Jacques de Superville & Maria Noose;Bruidspaar;1752;
2259;Abraham van Tarelink & Hendrina van Weert;Bruidspaar;1709;
2260;Kornelis Terwen & Johanna Rees;Bruidspaar;1721;
2261;Wilhelmus Teunemans & Catharina de Mey;Bruidspaar;1642;
2262;Antoni Thierens & Francina Roostermans;Bruidspaar;1632;
2263;Rutger Tichler & Elisabeth Nylant;Bruidspaar;1662;
2264;Johannes Tideman & Anna Maria Vlotman;Bruidspaar;1719;
2265;Bruno G.M. Tideman;Auteur;;
2266;Dirk Toll & Maria Hubert;Bruidspaar;1745;
2267;Petrus Hubert;Auteur;;
2268;Nicolaas Paradys;Auteur;;
2269;Jacob (ca 1679-) Trigland & Margareta Elisabeth de Geer;Bruidspaar;1707;
2270;Harder van Ditmer;Drukker;;Rotterdam
2271;M. Trigland;Auteur;;
2272;Dirk Trip & Jacoba Elizabeth van Stryen;Bruidspaar;1760;
2273;Matthys Dalemans;Drukker;;Den Haag
2274;Gerrit van Trojen & Magdalena Catharina van Oostbroek;Bruidspaar;1758;
2275;Jacob Bolt;Auteur, Drukker;;Alphen
2276;Isaac Ubingh & Hendrina Elisabeth Voet van Winssen;Bruidspaar;1721;
2277;Isaac Ubingh & Agnes Ormea;Bruidspaar;1727;
2278;Johannes Valk & Geertruy Donker;Bruidspaar;1728;
2279;Laurens H.I. Valk;Auteur;;
2280;Arent van Veen & Klara Anna Katers;Bruidspaar;1727;
2281;Adolph Sluyter;Auteur;;
2282;Barent Schrunder;Auteur;;
2283;Hermanus Veening & Barbera Hage;Bruidspaar;1727;
2284;Philip Frederik Vegilin van Claerbergen & Suzanna Elizabeth van Essen;Bruidspaar;1717;
2285;Harmanus Velthuysen & Dirkje Kievit;Bruidspaar;1742;
2286;Pieter van der (wed) Burgh;Drukker;;Gouda
2287;Hendrikus H.V.M. Velthuysen;Auteur;;
2288;Antoni Verbeeck & Margrieta Ampe;Bruidspaar;1633;
2289;Marcelis Verbeeck & Maria Pieters van Mal;Bruidspaar;1634;
2290;Matthijs Bastiaensz;Drukker;;Amsterdam
2291;Abraham de Groot;Auteur;;
2292;Andreas Vergouw & Alida Stouthandel;Bruidspaar;1701;
2293;Pieter Vermeeren & Sentina Penninghs;Bruidspaar;1664;
2294;Jacob Lambrechtse;Drukker;;Dordrecht
2295;Nikolaas Verschaak & Apollonia van Bergen;Bruidspaar;1720;
2296;Paulus (wed) Boekenes;Drukker;;Dordrecht
2297;Jan Adriaan Victer & Abilia Gillis;Bruidspaar;1743;
2298;Anna Camper;Auteur;;
2299;Gysbert Gillis;Auteur;;
2300;Gerrit de Haas;Auteur;;
2301;Emilia Gillis;Auteur;;
2302;Anna de Haas;Auteur;;
2303;H.C.;Auteur;;
2304;L.P. van Eyk;Auteur;;
2305;Jan Adriaen van Eyk;Auteur;;
2306;Joannes van den Broek;Auteur;;
2307;Nicolaas Vin & Antonettha Bottier;Bruidspaar;1759;
2308;Jean Bottier;Auteur;;
2309;Ysbrand Ysbrandsz Vincent & Johanna Paauw;Bruidspaar;1726;
2310;Levinius Vincent;Auteur;;
2311;Ysbrand Ysbrandsz Vincent;Auteur;;
2312;Herman Vingerhoedt (1697-1762) & Johanna Ignatia van der Hoeven;Bruidspaar;1718;
2313;S.H. Kruger;Auteur;;
2314;Matthys Vink & Cornelia van Steenhoolen;Bruidspaar;1722;
2315;Cornelis Westerhout;Auteur;;
2316;Reynier de Vries;Auteur;;
2317;Joan Viruly & Maria de Lange;Bruidspaar;1722;
2318;Jacob Viruly;Auteur;;
2319;Paulus Visscher & Clasina Hekhuysen;Bruidspaar;1747;
2320;Adriana Beeke geb. Visscher;Auteur;;
2321;Catharina Visscher;Auteur;;
2322;Anna Visscher;Auteur;;
2323;Gerard Visscher;Auteur;;
2324;Jan van Vliet & Kornelia van Laar;Bruidspaar;;
2325;Leonard de Vogel & Johanna van Hoek;Bruidspaar;1699;
2326;Adriaen de Voghel van Spreeuwesteijn & Jannette de Leu;Bruidspaar;1606;
2327;Willem Jansz van Yselveer;Auteur;;
2328;Bernard Vollenhove & Elisabeth Braem;Bruidspaar;1670;
2329;Anthony de Vries & Johanna van Gelé;Bruidspaar;1708;
2330;Jan de Wys;Auteur;;
2331;Henricus de Vries & Catharina Willems;Bruidspaar;1620;
2332;Nicolaes Biestkens;Drukker;;Amsterdam
2333;Jakob de Vries & Elizabet van Westerhoven;Bruidspaar;1697;
2334;Gerrit Vriesenburgh & Magdalena de Haes;Bruidspaar;1641;
2335;Govert van den Wijngaert;Auteur;;
2336;Jacob de Vrolik & Magdalena de Man;Bruidspaar;1733;
2337;Cornelis de Vrolik;Auteur;;
2338;Jan de Man;Auteur;;
2339;Adrianus Waker & Elisabeth Hartwyk;Bruidspaar;1688;
2340;Theodorus Dominicus;Auteur;;
2341;Johannes Wallis & Catharina van Strijp;Bruidspaar;1641;
2342;Lambertus Warninck & Maria Aletta Beudeker;Bruidspaar;1757;
2343;E. L.O. Beudeker;Auteur;;
2344;Daniël Beudeker;Auteur;;
2345;Benjamin van de Water & Elisabeth Meersmans;Bruidspaar;1642;
2346;Jan Waterman & Johanna Veening;Bruidspaar;1712;
2347;Jan Boom;Drukker;;
2348;Roelof Veening;Auteur;;
2349;Gerrit Veening;Auteur;;
2350;Hendrik van Wayenburg & Catharina ten Sande;Bruidspaar;1755;
2351;Jan George ten Sande;Auteur;;
2352;Joannes van Wayenburg;Auteur;;
2353;Joannes van Wayenburg & Anna Maria Schrant;Bruidspaar;1755;
2354;Hendrik van Wayenburg;Auteur;;
2355;Petrus Michael Welner & Anna Demetrius;Bruidspaar;1709;
2356;Hendrik I Bruyn;Drukker;;Hontenisse
2357;Jakob Schellinger;Auteur;;
2358;Joan van der Werken & Alida Holthenus;Bruidspaar;1728;
2359;Willem A.P. Bysterus;Auteur;;
2360;Kornelis Kriek;Auteur;;
2361;Jan William Westerveld & Geertruy Verpoorten;Bruidspaar;1735;
2362;Jan Verpoorten;Auteur;;
2363;Johan Marinus van Wevort van Ossenberg & Christina Elisabeth van Slingeland;Bruidspaar;1705;
2364;Pieter van Weyler & Johanna Decker;Bruidspaar;1742;
2365;Barent Das;Drukker;;Amsterdam
2366;J. Veris Decker;Auteur;;
2367;Melchior Rollerus;Auteur;;
2368;Lambertus Wilmes & Maria Slummer;Bruidspaar;1756;
2369;Jan Sinkel;Auteur;;
2370;Cornelis de Witt (1696-1769) & Catharina Wilhelmina van den Honert;Bruidspaar;1718;
2371;Gerard de Haan;Auteur;;
2372;Joannes Witte & Hester de Leeuw;Bruidspaar;1696;
2373;Pieter de Wolf & Catharina de Neufville Davids;Bruidspaar;1701;
2374;Hermanus Hermansz;Auteur;;
2375;J.J. Efflant;Auteur;;
2376;Wolter Wolthers & Ida Elizabeth Bothenius;Bruidspaar;1728;
2377;Johannes Cost;Drukker;;Den Haag
2378;Cornelius van Velzen;Auteur;;
2379;Franciscus Buning;Auteur;;
2380;Meinardus Hemsterhuis;Auteur;;
2381;Bernardus Woortman & Maria Roos;Bruidspaar;1755;
2382;Johan Wybo & Catharina La Croix;Bruidspaar;1746;
2383;Jan Wybo;Auteur;;
2384;Bartholomeus Wybo;Auteur;;
2385;Andries van der Poest;Auteur;;
2386;Cornelis van der Poest;Auteur;;
2387;Pieter Sebrechts;Auteur;;
2388;Samuel Cornelisz Morjou;Auteur;;
2389;Daniel Trezel;Auteur;;
2390;Martinus van Sevenhoven;Auteur;;
2391;Henricus van Wyngaarden & Maria Cornelia van den Idsert;Bruidspaar;1756;
2392;C. Carli;Auteur;;
2393;Elias van Ysendyk & Sara Overzee;Bruidspaar;1727;
2394;I. J.T. Overzee;Auteur;;
2395;Kornelis van der Zee & Anna van Bortel;Bruidspaar;1713;
2396;Hendrik Zegers & Gysbertje Hilverdink;Bruidspaar;1727;
2397;C.A. Swyghuizen;Auteur;;
2398;E. Ehinger;Auteur;;
2399;Pieter Zipman & Maria Zipman;Bruidspaar;1703;
2400;&;Bruidspaar;;
2401;Willem van Lier & Geertruid Anna van Wassenaar;Bruidspaar;1681;
2402;Johannes Du Vivié;Drukker;;Amsterdam
2403;Matheus Uurling & Katharina Enten;Bruidspaar;1716;
2404;Fredrik Duim;Auteur, Drukker;;Haarlem
2405;Willem Duim;Auteur, Drukker;;
2406;Johannes Duim;Auteur, Drukker;;
2407;Izaak Duim;Auteur, Drukker;;
2408;Geertruid Enten;Auteur;;
2409;Johannes Duim & Anna Margaretha Redemeester;Bruidspaar;1716;
2410;Willem P.S. Duim;Auteur;;
2411;Pieter de Bruyn & Anna Verpoorten;Bruidspaar;1727;
2412;Jacob Verpoorten;Auteur;;
2413;Pieter Namink & Hermina Ryke;Bruidspaar;1728;
2414;Elbertus Waller;Auteur;;
2415;Jan Carelse & Anna Margareta Le Blon;Bruidspaar;1728;
2416;J. Le Blon;Auteur;;
2417;P. de Kok;Auteur;;
2418;Bernard Houtman;Auteur;;
2419;Isaac Boonen;Auteur;;
2420;Joannes Egmond;Auteur;;
2421;Robbert Ghyben & Elisabeth Mooy;Bruidspaar;1731;
2422;Lambert van Laar;Auteur;;
2423;Elbertus Ledeboer Waller;Auteur;;
2424;Ernst Nyhof;Auteur;;
2425;Jakob Roman & Maria Pool;Bruidspaar;1739;
2426;H. Homoet;Auteur;;
2427;Jacobus Smit;Auteur;;
2428;D.D.Jz Geniets;Auteur;;
2429;Jan Gesner & Maria van Oudenburg;Bruidspaar;1717;
2430;S. Gesner;Auteur;;
2431;P. Werkmeester;Auteur;;
2432;Jan van Elsland;Auteur;;
2433;Johannes van Septeren & Aeltje Hackman;Bruidspaar;1727;
2434;Bernardus van Welderen & Maria Zoudenbalch;Bruidspaar;1659;
2435;Gooswynus van Duyn;Drukker;;Amsterdam
2436;Theodorus Verhoeven;Auteur;;
2437;Johannes van Aelhuysen;Auteur;;
2438;David Sandra & Maria Hendricx Ramskrammer;Bruidspaar;1708;
2439;Adriaan van Dyck;Drukker;;Amsterdam
2440;Hendrik Bosch & Abigail Bagelaar;Bruidspaar;1681;
2441;Joachim van Dyck;Drukker;;
2442;Jac F.D.B. B.;Auteur;;
2443;Jacob Douw & Suzanna Coone;Bruidspaar;1695;
2444;Joachim van (wed) Dyck;Drukker;;Delft
2445;Jacob Aarnoudsz van Lennep & Petronella de Neufville;Bruidspaar;1711;
2446;Jan van Gysen;Auteur;;
2447;Johannis Steen & Johanna Lanson;Bruidspaar;1711;
2448;Cornelis Anthonisz Berk & Margareta Ida Blasius;Bruidspaar;1713;
2449;A.G. Blasius;Auteur;;
2450;Gerhardt Meulenbroek & Elisabeth Breda;Bruidspaar;1726;
2451;Jacob van Rossen & Elizabet Hillebrants Verlaan;Bruidspaar;1743;
2452;Hilbrand Verlaan;Auteur;;
2453;Hilbrand Verlaan & Lysje Schoon;Bruidspaar;1745;
2454;Cornelis Schoon;Auteur;;
2455;Pieter Heinius & Anna Elizabeth van Geel;Bruidspaar;1732;
2456;Nicolaas Bastert;Auteur;;
2457;Johan Godfried Hoisingh & Anna Aurelia Appius;Bruidspaar;1728;
2458;Gesina Elama;Drukker;;Utrecht
2459;Herman Wolthers & Louisa Christina Conring;Bruidspaar;1746;
2460;Theodorus Brunsvelt van Hulten;Auteur;;
2461;Friedrich Adam Widder;Auteur;;
2462;Gerard Nicolaas Heerkens;Auteur;;
2463;Arnold Kulenkamp;Auteur;;
2464;Thomas van Limburg;Auteur;;
2465;Michiel Beckeringh;Auteur;;
2466;Petrus Lollema;Auteur;;
2467;Willem Arnold Alting;Auteur;;
2468;E.E.N.C.;Auteur;;
2469;Jakob Ovaar & Antonia van den Driesse;Bruidspaar;1708;
2470;Willeboord Eling;Drukker;;Hoorn
2471;Gerard de Wind;Auteur;;
2472;Daniel Snauwaardt & Margarita Geleins;Bruidspaar;1710;
2473;Daniel Heinsius & Ermgard Rutgers;Bruidspaar;1617;
2474;Isaac Elzevier;Drukker;;Amsterdam
2475;Johannes Polyander;Auteur;;
2476;Petrus Bertius;Auteur;;
2477;Daniel Colonius;Auteur;;
2478;Gerardus Johannes Vossius;Auteur;;
2479;Richard Jean de Nerée;Auteur;;
2480;Petrus Hondius;Auteur;;
2481;Hector Bouricius;Auteur;;
2482;Lucas Holstein;Auteur;;
2483;Joan Casper Gevaerts;Auteur;;
2484;Henricus de Putter & Digna Huygens;Bruidspaar;1618;
2485;Reyer van der Burch & Agatha van der Burch;Bruidspaar;1694;
2486;Endenburgh;Drukker;;Leiden
2487;Amaranthe Maria Paauw;Auteur;;
2488;Christoffel Pierson;Auteur;;
2489;Petrus Nahuys & Cornelia van Haring;Bruidspaar;1721;
2490;W. van Streefland;Auteur;;
2491;Gerard van Brandwyk & Agatha van der Burch;Bruidspaar;1700;
2492;Daniel Bik & Anna Maria Donker;Bruidspaar;1701;
2493;Franco de Vrye & Helena van Haarlem;Bruidspaar;1701;
2494;Cornelis Jongkint & Margareta Houtman;Bruidspaar;1712;
2495;Daniel J.A. Willink;Auteur;;
2496;Michiel Slagregen & Maria Crajesteyn;Bruidspaar;1713;
2497;Izaak Enschedé;Auteur;;
2498;Jan van Westerhoven;Auteur;;
2499;Cornelius van Putten & Maria Elsma;Bruidspaar;1714;
2500;M. Roose;Auteur;;
2501;Izaäk van Nikkelen & Golyna Verdonk;Bruidspaar;1718;
2502;Hermannus Schyn;Auteur;;
2503;Jacobus Pyne;Auteur;;
2504;Rochus van Wesel & Margareta de Vries;Bruidspaar;1646;
2505;Hendrick van Esch;Drukker;;Amsterdam
2506;E. van Wesel;Auteur;;
2507;Isaac van Belle & Adriana Hellu;Bruidspaar;1649;
2508;Bartholomeus van Bracht & Clara van Belle;Bruidspaar;1655;
2509;N. van Ouderkerck;Auteur;;
2510;Daniel Toulooper;Auteur;;
2511;Joannes Scheers & Aaghje Otter;Bruidspaar;1696;
2512;R. W.S. Cramer;Auteur;;
2513;Elias Schellinger & Elizabeth Buys;Bruidspaar;1744;
2514;Aarnout van Horx & Neeltje de Winter;Bruidspaar;1730;
2515;Johannes van Eyk;Drukker;;Rotterdam
2516;Johannes van Wyck;Auteur;;
2517;Matthys van Dulken & Anna Oortman;Bruidspaar;1694;
2518;Arnold van den Eynden;Drukker;;Hoorn
2519;W. Oortman;Auteur;;
2520;F. Jansz Andries;Auteur;;
2521;Cornelis Hoorens & Catalina Linnich van der Schagen;Bruidspaar;1700;
2522;Hendrik van Singel & Jacoba Verbeek;Bruidspaar;1704;
2523;Kornelis Hoorens & Maria van Hoppenbroek;Bruidspaar;1730;
2524;Pieter Fontein;Auteur;;
2525;Andries de jonge Oortman;Auteur;;
2526;Saco Harmen van Idsinga & Johanna Catharina Knock;Bruidspaar;1750;
2527;Abraham Ferwerda;Drukker;;Leiden
2528;Adriaen Brugman & Marragrieta Roostermans;Bruidspaar;1640;
2529;Thomas Fonteyn;Drukker;;Amsterdam
2530;Françoys de Wolf & Geertruyt Slicher;Bruidspaar;1612;
2531;Cornelis Fransz;Drukker;;Amsterdam
2532;Philips Mathijs Pietersz & Elisabeth Jansd;Bruidspaar;1612;
2533;David Wachtendonck & Debora Nannings;Bruidspaar;1612;
2534;Jan Jansz Starter;Auteur;;
2535;Samuel Perne & Margreta Roelandi;Bruidspaar;1614;
2536;Coenraad Groenewoud & Aaltje Genis;Bruidspaar;1711;
2537;Elisabet Groenewoud;Auteur;;
2538;Egbert Thesingh & Eletta van de Ryp;Bruidspaar;1714;
2539;Joan Marcus & Anna van Norden;Bruidspaar;1714;
2540;A. Benoorden;Auteur;;
2541;Hermanus van Santen & Anna Garengroot;Bruidspaar;1717;
2542;Hendrik van de A.W. Gaete;Auteur;;
2543;Gerrit Konynenberg & Maria Ritter;Bruidspaar;1711;
2544;N. van Helderenberg;Auteur;;
2545;Lourens Wiegersma & Anna Lutsekerk;Bruidspaar;1711;
2546;J.H. J.T. J.W.;Auteur;;
2547;W. Sknilletjes;Auteur;;
2548;J. Wesselink;Auteur;;
2549;David Rutgers (1682-1757) & Maria de Neufville;Bruidspaar;1711;
2550;Daniel Rutgers;Auteur;;
2551;Nicolaas van Veen & Anna Asschenbergh;Bruidspaar;1711;
2552;Gerard van Heyningen & Elisabeth de Clercq;Bruidspaar;1711;
2553;Pieter Anderson & Clara d' Amour;Bruidspaar;1711;
2554;Hendrik van de L.B. Gaete;Auteur;;
2555;Dirk van der Schelling & Anna Schryver;Bruidspaar;1712;
2556;Pieter Adriaensz Verwer;Auteur;;
2557;J. Resanschavinum Boncq;Auteur;;
2558;François van Harencarspel & Anna Apolonia Looten;Bruidspaar;1712;
2559;Pieter Anthony de Huybert;Auteur;;
2560;Adriaan Hoppestein;Auteur;;
2561;Abraham Barnaart & Elisabeth van der Hoef;Bruidspaar;1712;
2562;Joannes Houbakker;Auteur;;
2563;Roelof Veening & Hendrina Thin;Bruidspaar;1712;
2564;Jacob Murison & Elizabeth Hoffham;Bruidspaar;1713;
2565;Abraham West;Auteur;;
2566;De Deksel;Auteur;;
2567;Leonard Lups & Cornelia Rutgers;Bruidspaar;1713;
2568;Gerrit J.D. Fortgens;Auteur;;
2569;Hendrik Kops & Magdalena Teyler;Bruidspaar;1713;
2570;J. van Wassen;Auteur;;
2571;H.V.B.;Auteur;;
2572;Abraham Wynands & Cornelia Vincent;Bruidspaar;1713;
2573;Pieter van Poot & Cornelia Vry;Bruidspaar;1714;
2574;Jacob de Haan & Anna van Gelder;Bruidspaar;1714;
2575;Wessel Kluppel;Auteur;;
2576;Johannes Nagel & Agneta Elisabeth Veltkamp;Bruidspaar;1714;
2577;A. Tros;Auteur;;
2578;Johannes Wils & Johanna Parent;Bruidspaar;1714;
2579;J. de Graaff;Auteur;;
2580;T. van Velsen;Auteur;;
2581;Pieter P.H.B.H. Straat;Auteur;;
2582;Frans van Steenwyk & Judith ten Kate;Bruidspaar;1714;
2583;Pieter Lups & Margareta Kops;Bruidspaar;1714;
2584;Ludolph J.D. Smids;Auteur;;
2585;Izaak van der Vinne;Auteur;;
2586;C.B.;Auteur;;
2587;Michiel Bruynvis & Anna Bruynvis;Bruidspaar;1714;
2588;Bartholomeus Bruynvis;Auteur;;
2589;Albert van Heyningen & Sara ten Kate;Bruidspaar;1715;
2590;Abraham P.H. Fortgens;Auteur;;
2591;Sander Stevensz van Leuvenig & Debora Bleeker;Bruidspaar;1715;
2592;Cornelis George Roeters & Sara Roeters;Bruidspaar;1716;
2593;Abraham Voegen & Joanna Kroplant;Bruidspaar;1716;
2594;Christiaen Meyer & Johanna Petersen;Bruidspaar;1716;
2595;M. H.D.G.M. Petersen;Auteur;;
2596;Petersen;Auteur;;
2597;Jacob Kruytberg & Hillegonda Koning;Bruidspaar;1716;
2598;Dirk van (Jr) Lennep & Catharina de Neufville;Bruidspaar;1716;
2599;Abraham Lapro & Josina van Karnebeek;Bruidspaar;1716;
2600;Filips George Piek;Auteur;;
2601;Jan Petersen & Alida Krimping;Bruidspaar;1717;
2602;M. J.D.V.I. Petersen;Auteur;;
2603;Arnold Nachetegael Klemens;Auteur;;
2604;Galenus van Baerle & Wilhelmina Verwit;Bruidspaar;1717;
2605;C. van Baerle;Auteur;;
2606;Christiaan Klaarbout;Auteur;;
2607;Henrik van Voorst & Katharina Schyn;Bruidspaar;1717;
2608;Daniel Lambrechts & Bernardina van Enst;Bruidspaar;1717;
2609;Pieter Rotterdam & Anna Catharina Weyer;Bruidspaar;1717;
2610;Leonard Weyer;Auteur;;
2611;D.G.V.A.;Auteur;;
2612;J. Steevensz;Auteur;;
2613;C.I.;Auteur;;
2614;Abraham Jansz van Dorssen & Neeltje Hagen;Bruidspaar;1717;
2615;Jan Joostsz van Eik & Josina Terwen;Bruidspaar;1718;
2616;Z.V.D.;Auteur;;
2617;Sybrand Isaacsz Feitama;Auteur;;
2618;Jean André Lentz & Hendrina Brandt;Bruidspaar;1718;
2619;Isaac Lohoff & Wyna Johanna Ploos van Amstel;Bruidspaar;1718;
2620;I. Ploos van Amstel;Auteur;;
2621;Joost Sasselee;Auteur;;
2622;Abraham Fortgens & Catharina van Britten;Bruidspaar;1718;
2623;R.B.;Auteur;;
2624;Benjamin de Bruyn & Bartha Verdyk;Bruidspaar;1719;
2625;Theodore de Bruyn;Auteur;;
